Place;Address;Arrondissement;Frequency; Coordinates; Type of place
Café Alcazar;10 Rue du Faubourg-Poissonnière;10;1;48.871476, 2.348108; Coffee
Café Anglais;13 Boulevard des Italiens;2;5;48.871363, 2.337518;Coffee
Café Choiseul;Passage Choiseul;2;1;48.868083, 2.335567;Coffee
Café de la Comèdie;157 Rue Saint Honoré;1;1;48.863017, 2.335803;Coffee
Café de Mulhouse;Passage Jouffroy;9;1;48.872584,2.34222;Coffee
Café de Rochefoucauld;57 Rue Notre Dame de Lorette;9;1;48.880196, 2.335126;Coffee
Café de Paris;24 Boulevard des Italiens;9;1;48.871539,2.336282;Coffee
Café des Aveugles;103 Rue de Beaujolais;1;1;48.866343, 2.337583;Coffee
Café des Gondoles;Rue Boulois;1;2;48.863538, 2.340676;Coffee
Café des Mille-Colonnes;36 Galerie de Montpensier;1;1;48.865165, 2.337205;Coffee
Café des Variétées;9 Boulevard Montmartre;2;4;48.871432, 2.342019;Coffee
Café d'Orsay;52 Rue Mazarine;6;2;48.854966, 2.33765;Coffee
Café de Paris;24 Boulevard des Italiens;9;1;48.871539, 2.336282;Coffee
Café de la Régence;167 Rue Saint-Honoré;1;1;48.863634, 2.334345;Coffee
Café du Géant;47 Boulevard du Temple;11;1;48.866186, 2.364571;Coffee
Café du Gymnase;32 Boulevard Bonne Nouvelle;10;2;48.870511, 2.349462;Coffee
Café du Helder;29 Boulevard des Italiens;9;6;48.870928, 2.335123;Coffee
Café du Mail;Rue du Mail;2;3;48.867196, 2.343535;Coffee
Café Durand;2 Place de la Madeleine;8;3;48.869058, 2.324181;Coffee
Café Eldorado;4 Boulevard de Strasbourg;10;1;48.869818, 2.355028;Coffee
Café Leblond;Passage de l’Opéra;9;1;48.872755, 2.338658;Coffee
Café Mazarin;16 Boulevard Montmartre;9;2;48.87198, 2.341263;Coffee
Café Riche;16 Boulevard des Italiens;9;13;48.871752, 2.337676;Coffee
Café Tabourey;20 Rue de Vaugirard;6;1;48.849373, 2.338216;Coffee
Café Tortoni;22 Boulevard des Italiens;9;3;48.872014, 2.336861;Coffee
Café Turc;9 et 31 Boulevard du Temple;11;1;48.86551, 2.365005;Coffee
Café Véron;11 Boulevard Montmartre;2;1;48.871511, 2.341904;Coffee
Bancelin;27 Boulevard du Temple;3;1;48.865027, 2.365197;Restaurant
Baratte;8 Rue Berger;1;1;48.862128, 2.347429;Restaurant
Beuf à La Mode;8 Rue de Valois;1;1;48.863611, 2.338116;Restaurant
Bignon;2 Rue de la Chaussée d'Antin;9;4;48.871207, 2.334206;Restaurant
Bonvalet;29 Boulevard du Temple;11;1;48.865423, 2.365229;Restaurant
Bouillons Duval;15 Rue Coquillière;1;2;48.863778, 2.342502;Restaurant
Brasserie des Martyrs;17 Rue des Martyrs;9;2;48.877927, 2.339354;Restaurant
Brébant;32 Boulevard Poissonnière;9;1;48.87161, 2.343498;Restaurant
Broggi;19 Rue Le Peletier;9;3;48.872851, 2.338386;Restaurant
Champeaux;13 Place de la Bourse;2;1;48.868711, 2.340558;Restaurant
Dinochau;Angle Rue Monnier et Rue Navarin;9;5;48.880019, 2.33734;Restaurant
Grosse-Tête;30 Rue Daunou;9;6;48.870021, 2.330473;Restaurant
La Taverne Anglaise;5 Rue de la Chaussée d'Antin;9;3;48.872013, 2.333508;Restaurant
La Terrasse;10 Boulevard Montmartre;9;1;48.871824, 2.34216;Restaurant
Les Frères Provençaux;17 Rue de Beaujolais;1;1;48.86613, 2.337986;Restaurant
Magny;3 Rue André Mazet;6;61;48.854125, 2.339124;Restaurant
Maire;14 Boulevard Saint-Denis;10;5;48.869631, 2.354082;Restaurant
Maison d'or;20 Boulevard des Italiens;9;8;48.871878, 2.336879;Restaurant
Moulin-Rouge;82 Boulevard de Clichy;18;4;48.88413, 2.332464;Restaurant
Père Lathuile;7 Avenue de Clichy;17;2;48.884329, 2.326845;Restaurant
Pied-de-Mouton;6 Rue Coquillière;1;3;48.863494, 2.343724;Restaurant
Poissonnerie Anglaise;1 Rue de Rivoli;4;2;48.85558, 2.359164;Restaurant
Vachette;32 Boulevard Poissonnière;9;2;48.87161, 2.343498;Restaurant
Véfour;17 Rue de Beaujolais;1;5;48.86613, 2.337986;Restaurant
Voisin;261 Rue Saint Honoré;1;2;48.867295, 2.326237;Restaurant
Cirque Olympique;Boulevard du Temple;11;13;48.867394, 2.363414;Theater
Opéra;12 Rue Le Peletier;9;20;48.872755, 2.338658;Theater
Opéra-Comique;Place Boieldieu;2;3;48.870817, 2.337444;Theater
Panorama des Champs-Élisées;Champs-Élysées;8;1;48.865784, 2.307314;Theater
Théâtre Lyrique;22 Rue de la Tour-d'Auvergne;9;2;48.879196, 2.343891;Theater
Théâtre de l'Ambigu;2 ter Boulevard Saint-Martin;10;9;48.868155, 2.362109;Theater
Théâtre de l'Odéon;Place de l'Odéon;6;9;48.849991, 2.338648;Theater
Théâtre de Bobino;20 Rue de la Gaîté;14;1;48.840012, 2.323595;Theater
Théâtre de la Gaîtè;3bis rue Papin;3;2;48.866559, 2.353394;Theater
Théâtre de la Porte-Saint-Martin;18 Boulevard Saint-Martin;10;9;48.86907, 2.356987;Theater
Théâtre de la Renaissance;20 Boulevard Saint-Martin;10;1;48.869065, 2.356311;Theater
Théâtre des Bouffes-Parisien;4 Rue Monsigny;2;7;48.86839, 2.335403;Theater
Théâtre des Dèlassements-Comiques;52 Boulevard du Temple;11;3;48.866083, 2.365274;Theater
Théâtre des Folies-Nouvelles;41 Boulevard du Temple;3;3;48.866186, 2.364571;Theater
Théâtre des Funambles;Boulevard du Temple;3;3;48.867394, 2.363414;Theater
Théâtre des Italiens;salle Ventadour 1 Rue Dalayrac;2;5;48.867603, 2.334862;Theater
Théâtre des Variètès;7 Boulevard Montmartre;2;3;48.871403, 2.342088;Theater
Théâtre du Châtelet;Place du Châtelet;1;1;48.858002, 2.347243;Theater
Théâtre du Gymnase;38 Boulevard Bonne-Nouvelle;10;6;48.870847, 2.348918;Theater
Théâtre du Palais-Royal;8 Rue de Montpensier;1;4;48.863757, 2.337126;Theater
Théâtre du Panthèon;961 Rue Saint-Jacques;5;1;48.845593, 2.342685;Theater
Théâtre du Vaudeville;27 bis Rue Vivienne;2;10;48.869068, 2.34003;Theater
Théâtre-Français;1 Place Colette;1;27;48.86318, 2.336035;Theater
Théâtre-Lirique (Opèra-National);10 Place de la République;11;1;48.867653, 2.36496;Theater
Archives Imperiales;Galerie du Louvre;1;1;48.860611, 2.337644;Archive
