Place;Address;Arrondissement;Frequency; Coordinates
Cirque Olympique;Boulevard du Temple;11;13;48.864866, 2.365674
Opéra;12 Rue Le Peletier;9;20; 48.872755, 2.338658
Opéra-Comique;Place Boieldieu;2;3; 48.870817, 2.337444
Panorama des Champs-Élisées;Champs-Élysées;8;1; 48.865784, 2.307314
Théâtre Lyrique;22 Rue de la Tour-d'Auvergne;9;2; 48.879196, 2.343891
Théâtre de l'Ambigu;2 ter Boulevard Saint-Martin;10;9; 48.868155, 2.362109
Théâtre de l'Odéon;Place de l'Odéon;6;9; 48.849991, 2.338648
Théâtre de Bobino;20 Rue de la Gaîté ;14;1; 48.840012, 2.323595
Théâtre de la Gaîtè;3bis rue Papin;3;2;48.866559, 2.353394
Théâtre de la Porte-Saint-Martin;18 Boulevard Saint-Martin;10;9; 48.86907, 2.356987
Théâtre de la Renaissance;20 Boulevard Saint-Martin;10;1; 48.869065, 2.356311
Théâtre des Bouffes-Parisien;4 Rue Monsigny;2;7; 48.86839, 2.335403
Théâtre des Dèlassements-Comiques;52 Boulevard du Temple;11;3; 48.866083, 2.365274
Théâtre des Folies-Nouvelles;41 Boulevard du Temple;3;3; 48.866186, 2.364571
Théâtre des Funambles;Place de la République (ancien Boulevard du Temple);3;3; 48.867394, 2.363414
Théâtre des Italiens;salle Ventadour 1 Rue Dalayrac;2;5; 48.867603, 2.334862
Théâtre des Variètès;7 Boulevard Montmartre;2;3; 48.871403, 2.342088
Théâtre du Châtelet;Place du Châtelet;1;1; 48.858002, 2.347243
Théâtre du Gymnase;38 Boulevard Bonne-Nouvelle;10;6; 48.870847, 2.348918
Théâtre du Palais-Royal;8 Rue de Montpensier;1;4; 48.863757, 2.337126
Théâtre du Panthèon;961 Rue Saint-Jacques;5;1; 48.845593, 2.342685
Théâtre du Vaudeville;27 bis Rue Vivienne;2;10; 48.869068, 2.34003
Théâtre-Français;1 Place Colette;1;27; 48.86318, 2.336035
Théâtre-Lirique (Opèra-National);10 Place de la République;11;1; 48.867653, 2.36496
