Newspaper;Address;Arrondissement;Frequency;Newspaper type; Coordinates
Bulletin des Bouquinistes;18 Rue Séguier;6;1;Literary;48.853714,2.341288
Journal de Dèbats;17 Rue des Prêtres-Saint-Germain-l'Auxerrois;1;31;Anti-Imperialist;48.859152, 2.341072
Journal des contemporains;15 Rue Guénégaud (éditeur Gustave Havard);6;1;Satirical;48.855906, 2.339073
L'Artiste;15 Avenue de l'Opéra;1;14;Literary;48.865582, 2.334055
L'Assemblèe nationale;43 Rue Croix des Petits Champs;1;2;Monarchist;48.865259, 2.340614
L'Éclair;25 Rue d'Aumale;9;2;Literary;48.87841, 2.334913
L'Entracte;3 Rue Auber;9;4;Theatrical;48.871657, 2.330262
L'Évènement;106 Rue Richelieu;2;2;Anti-Imperialist;48.871367, 2.339928
L'Illustration;13 Rue Saint-Georges;9;10;Literary;48.875363, 2.337121
L'Opinon National;166 Rue Montmartre;2;9;Imperialist;48.870515, 2.34293
L'Univers;10 Rue des Saints-Pères;7;2;Catholic;48.85699, 2.332089
La Démocratie Pacifique;6 Rue de Tournon;6;1;Generalist;48.850759, 2.336676
La France;144 Rue Montmartre;2;2;Catholique;48.868915, 2.34367
La Gazette des Beaux-Arts;8 Rue Favart;2;1;Artistic;48.87057, 2.337955
La Gazette de Champfleury;(Gazette des Beaux-Arts 8, Rue Favart);2;1;Literary;48.87057, 2.337955
La Gazette de France;5 Place des Petits Pères;2;4;Monarchist;48.866464, 2.340688
La Gazette de Paris;4 Rue Taitbout;9;1;Generalist;48.872993, 2.335464
La Gazette des hôpitaux;4 Rue de l'Odéon;6;1;Specialist;48.85135, 2.338568
La Gazette des théatres;5 Rue du Faubourg Poissonnière;10;1;Theatrical;48.871305, 2.347682
La Gazette médicale;8 Place de l'Odéon;6;1;Specialist;48.849869, 2.338345
La Liberté;146 Rue Montmartre;2;3;Liberal;48.869293, 2.343222
La Mode;5 Rue des Filles Saint-Thomas;2;3;Specialist;48.868844, 2.339444
La Patrie;12 Rue du Croissant;2;5;Imperialist; 48.868876, 2.344451
La Presse;9 Rue Baillif (aujourd'hui Rue des Bons-Enfants);1;30;Generalist;48.863087, 2.338254
La Revue Contemporaine;1 Rue du Pont de Lodi;6;2;Monarchist;48.854656, 2.340812
La Revue des Deux Mondes;15 Rue de l'Université;7;27;Anti-Imperialist;48.856905, 2.329919
La Revue Européenne;13 Quai Voltaire;7;1;Literary;48.858668, 2.331643
La Silhoutte;46 Rue de Dunkerque;9;3;Literary;48.881478, 2.348882
La Vie Parisienne;8 Rue Favart;2;3;Society;48.87057, 2.337955
Le Charivari;20 Rue de la Victoire;9;10;Anti-Imperialist;48.875201, 2.338933
Le Constitutionnel;1 Rue Baillif (disparu). Rue des Bons-Enfants;1;12;Imperialist;48.862662, 2.338095
Le Correspondant;29 Rue de Tournon;6;3;Catholic;48.849771, 2.337452
Le Corsaire;17 Rue de Toulouse;19;5;Liberal, Anticlerical;48.885889, 2.396066
Le Courrier de Paris;73 Rue Sainte-Anne;2;1;Generalist;48.868629, 2.336395
Le Figaro;26 Rue Drouot;9;54;Liberal;48.874313, 2.340869
Le Flâneur;11 Rue de la Monnaie;1;2;Generalist;48.858935, 2.342523
Le Gaulois;9 Boulevard des Italiens;2;1;Liberal;48.871541, 2.338577
Le Magasin des enfants;1 Boulevard des Italiens;9;3;Specialist;48.871701, 2.339807
Le Mercure de France;Rue Sainte Anne;1;1;Literary;48.866995, 2.335899
Le Moniteur;13 Quai Voltaire;7;35;Imperialist;48.858668, 2.331643
Le Nain Jaune;25 Rue d'Aumale;9;3;Liberal;48.87841, 2.334913
Le National;42 Rue Notre Dame-des-Victoires;2;4;Liberal;48.869014, 2.342362
Le Passe-Temps;72 Rue Bonaparte;6;1;Literary;48.851388, 2.332685
Le Pays;19 Rue des Bons-Enfants;1;8;Imperialist;48.863087, 2.338254
Le Père Duchesne;12 Rue Grange-Batelière;9;1;Generalist;48.873238, 2.341603
Le Réveil;21 Rue de Choiseul;2;2;Imperialist;48.870434, 2.335724
Le Sans le sou;17 Rue Descartes;5;1;Literary;48.846762, 2.349035
Le Siècle;24 Rue Chauchat;9;18;Liberal, Anticlerical;48.874541, 2.33988
Le Temps;5 Boulevard des Italiens;9;9;Liberal;48.871556, 2.33918
Le Tintamarre;33 Boulevard de Clichy;9;1;Republican;48.882675, 2.335484
Le Triboulet;43 Boulevard Haussmann;9;1;Satirical;48.873359, 2.328785
Moniteur de l'Armée;152 Rue Montmartre;2;1;Specialist;48.869588, 2.343147
Paris;1 Rue Laffitte;9;8;Literary;48.871743, 2.337113
Revue anecdotique;11 Rue de Seine;6;2;Literary;48.85682, 2.336747
