An 1858 - Septembre;;;;;;
Théâtres;Semaines;;;;;Total mois
Opéra;;;;;;
Théâtre Français;19.177,60;13.384,50;14.750,50;11.419,30;4.068,80;62.800,70
Opéra-Comique;16.429,50;13.895,75;17.697,25;17.577,25;4.855,50;70.455,25
Théâtre des Italiens;;;;;;
Odéon;1.379,50;4.262,25;5.486,50;4.804,50;1.161,25;17.094,00
Théâtre-Lyrique;20.588,83;19.831,75;17.425,50;23.020,25;5.849,75;86.716,08
Vaudeville;;;1.424,50;1.663,00;1.770,00;4.857,50
Théâtre des Variétés;7.067,00;21.764,50;22.237,50;16.952,50;5.962,00;73.983,50
Gymnase;;;;;;
Palais-Royal;8.246,95;6.670,65;5.325,60;7.021,50;2.916,50;30.181,20
Porte Saint-Martin;;;;;;
Gaîté;;;;;;
Ambigu-Comique;15.298,50;14.101,88;15.218,25;13.955,20;3.554,25;62.128,08
Théâtre Impérial du Cirque;;;;;;
Folies-Dramatiques;;2.643,60;7.210,00;8.490,15;1.630,10;19.973,85
Délassement Comiques;;;;;598,00;598,00
Luxembourg;;;;;;
Folies  Nouvelles;4.213,00;2.164,00;3.205,75;3.202,25;875,75;13.660,75
Total;92.400,88;98.718,88;109.981,35;108.105,90;33.241,90;442.448,91
 ;;;;;;
