An 1858 - Octobre;;;;;;
Théâtres;Semaines;;;;;Total mois
Opéra;;;;;;
Théâtre Français;13.645,90;16.768,60;19.042,60;18.635,40;10.460,10;78.552,60
Opéra-Comique;16.583,25;14.789,50;20.882,00;17.283,00;8.399,50;77.937,25
Théâtre des Italiens;20.086,25;16.225,50;16.506,00;17.548,45;6.385,00;76.751,20
Odéon;6.249,75;4.793,00;4.441,00;5.923,75;2.553,75;23.961,25
Théâtre-Lyrique;21.280,50;25.286,50;21.758,25;24.592,25;9.129,50;102.047,00
Vaudeville;7.425,00;9.184,50;8.387,50;7.128,00;3.839,50;35.964,50
Théâtre des Variétés;21.322,00;19.569,50;18.480,00;16.865,50;8.293,00;84.530,00
Gymnase;;;;;;
Palais-Royal;15.288,00;14.030,85;15.187,75;15.248,15;6.512,75;66.267,50
Porte Saint-Martin;;;;;;
Gaîté;;;;;;
Ambigu-Comique;13.971,75;14.236,15;13.407,55;12.403,60;5.669,15;59.688,20
Théâtre Impérial du Cirque;;;;;;
Folies-Dramatiques;8.598,60;7.056,45;9.693,10;8.171,40;3.650,20;37.169,75
Délassement Comiques;3.355,20;3.972,55;1.747,80;2.523,65;848,55;12.447,75
Luxembourg;;;;;;
Folies  Nouvelles;3.568,75;3.739,25;4.695,25;4.358,00;3.099,50;19.460,75
Total;151.374,95;149.652,35;154.228,80;150.681,15;68.840,50;674.777,75
