An 1858 - Novembre;;;;;;
Théâtres;Semaines;;;;;Total mois
Opéra;;;;;;
Théâtre Français;8.259,70;17.580,40;20.041,40;23.330,40;14.954,60;84.166,50
Opéra-Comique;8.013,00;11.741,75;14.897,00;15.147,75;10.083,00;59.882,50
Théâtre des Italiens;14.564,75;23.635,55;20.763,80;23.738,15;17.449,80;100.152,05
Odéon;4.957,50;5.848,25;6.653,00;10.365,00;7.210,40;35.034,15
Théâtre-Lyrique;14.380,75;24.026,50;18.209,25;23.626,50;9.904,25;90.147,25
Vaudeville;4.808,00;6.650,00;5.910,00;5.787,50;17.554,50;40.710,00
Théâtre des Variétés;9.240,00;14.698,50;11.235,00;14.992,00;10.772,00;60.937,50
Gymnase;;;;;;
Palais-Royal;7.659,25;11.999,25;15.559,00;16.474,25;7.120,75;58.812,50
Porte Saint-Martin;;;;;;
Gaîté;;;;;;
Ambigu-Comique;5.159,75;18.722,50;23.823,15;24.200,25;17.156,15;89.061,80
Théâtre Impérial du Cirque;;;;;;
Folies-Dramatiques;5.388,75;6.242,50;7.609,50;5.709,20;5.992,30;30.942,25
Délassement Comiques;1.812,55;1.522,85;2.692,10;2.082,00;2.434,75;10.544,25
Luxembourg;;;;;;
Folies  Nouvelles;3.289,95;3.860,00;3.995,50;5.545,70;4.013,25;20.704,40
Total;87.533,95;146.528,05;151.388,70;170.998,70;124.645,75;681.095,15
