An 1858 - Décembre;;;;;;
Théâtres;Semaines;;;;;Total mois
Opéra;;;;;;
Théâtre Français;21.993,20;21.507,40;18.724,50;17.147,40;7.342,10;86.714,60
Opéra-Comique;12.998,00;13.135,50;16.302,25;16.266,50;11.775,50;70.477,75
Théâtre des Italiens;28.084,95;26.908,60;26.270,80;22.998,00;7.037,35;111.299,70
Odéon;9.630,50;7.141,00;7.332,50;6.648,00;2.118,00;32.870,00
Théâtre-Lyrique;24.080,00;18.542,00;15.278,50;10.844,25;5.942,50;74.687,25
Vaudeville;29.281,50;28.056,65;24.215,75;22.921,00;8.143,50;112.618,40
Théâtre des Variétés;12.777,00;10.188,50;8.186,50;6.973,50;3.912,50;42.038,00
Gymnase;;;;;;
Palais-Royal;14.517,75;14.249,00;11.560,75;15.980,60;6.677,75;62.985,85
Porte Saint-Martin;;;;;;
Gaîté;;;;;;
Ambigu-Comique;23.978,75;15.520,70;20.849,95;19.296,25;4.907,00;84.552,65
Théâtre Impérial du Cirque;;;;;;
Folies-Dramatiques;8.844,10;5.841,35;7.055,60;9.877,10;3.069,30;34.687,45
Délassement Comiques;2.964,70;957,90;3.670,15;5.316,55;2.779,00;15.688,30
Luxembourg;;;;;;
Folies  Nouvelles;4.221,50;1.819,10;3.394,50;6.175,50;887,75;16.498,35
Total;193.371,95;163.867,70;162.841,75;160.444,65;64.592,25;745.118,30
