Théâtres;1858-09-01;1858-09-02;1858-09-03;1858-09-04;1858-09-05;1858-09-06;1858-09-07;1 - 7 sept.
Opéra;;;;;;;;
Théâtre Français;2.339,00;1.190,10;2.136,70;1.197,20;8.296,70;1.817,40;2.200,50;19.177,60
Opéra-Comique;1.839,00;2.403,00;1.510,00;2.246,50;3.242,00;2.733,50;2.455,50;16.429,50
Théâtre des Italiens;;;;;;;;
Odéon;;;;;;;1.379,50;1.379,50
Théâtre-Lyrique;3.335,23;1.831,25;5.156,00;787,60;2.983,50;1.186,50;5.308,75;20.588,83
Vaudeville;;;;;;;;
Théâtre des Variétés;;;;;;3.518,50;3.548,50;7.067,00
Gymnase;;;;;;;;
Palais-Royal;1.362,05;1.123,50;1.006,75;916,90;1.305,00;1.011,25;1.521,50;8.246,95
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;2.100,95;2.244,30;1.900,80;1.422,40;3.015,75;2.313,80;2.300,50;15.298,50
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;;;;;;;;
Délassement Comiques;;;;;;;;
Luxembourg;;;;;;;;
Folies  Nouvelles;758,50;735,75;659,75;376,25;801,00;370,50;511,25;4.213,00
Total;11.734,73;9.527,90;12.370,00;6.946,85;19.643,95;12.951,45;19.226,00;92.400,88
;;;;;;;;
