Théâtres;1858-09-29;1858-09-30;29 - 30 sept.
Opéra;;;
Théâtre Français;1.805,00;2.263,80;4.068,80
Opéra-Comique;1.750,50;3.105,00;4.855,50
Théâtre des Italiens;;;
Odéon;417,00;744,25;1.161,25
Théâtre-Lyrique;739,00;5.110,75;5.849,75
Vaudeville;1.020,50;749,50;1.770,00
Théâtre des Variétés;2.938,00;3.024,00;5.962,00
Gymnase;;;
Palais-Royal;1.404,50;1.512,00;2.916,50
Porte Saint-Martin;;;
Gaîté;;;
Ambigu-Comique;1.553,30;2.000,95;3.554,25
Théâtre Impérial du Cirque;;;0,00
Folies-Dramatiques;768,90;861,20;1.630,10
Délassement Comiques;;598,00;598,00
Luxembourg ;;;
Folies  Nouvelles;286,00;589,75;875,75
Total;12.682,70;20.559,20;33.241,90
;;;
