Théâtres;1858-10-01;1858-10-02;1858-10-03;1858-10-04;1858-10-05;1858-10-06;1858-10-07;1 - 7 oct.
Opéra;;;;;;;;
Théâtre Français;1.616,20;1.371,70;2.909,50;2.489,40;1.450,10;1.772,30;2.036,70;13.645,90
Opéra-Comique;2.029,75;2.764,50;2.672,50;1.217,50;3.152,50;1.576,50;3.170,00;16.583,25
Théâtre des Italiens;9.474,00;;;6.149,25;;4.463,00;;20.086,25
Odéon;667,50;676,50;2.022,25;917,25;691,50;526,50;748,25;6.249,75
Théâtre-Lyrique;799,75;5.288,00;2.740,00;1.254,75;5.135,75;852,25;5.210,00;21.280,50
Vaudeville;1.107,00;707,00;1.538,00;765,00;834,50;1.067,50;1.406,00;7.425,00
Théâtre des Variétés;3.342,50;3.094,00;3.300,00;3.179,50;2.980,00;3.012,00;2.414,00;21.322,00
Gymnase;;;;;;;;
Palais-Royal;1.729,75;3.134,50;2.502,00;1.703,00;2.103,50;2.003,75;2.111,50;15.288,00
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;2.200,95;1.610,65;2.841,40;2.147,55;2.003,05;1.601,15;1.567,00;13.971,75
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;1.087,80;944,65;1.637,65;1.149,40;2.146,35;914,70;718,05;8.598,60
Délassement Comiques;726,50;597,50;;632,95;672,45;364,30;361,50;3.355,20
Luxembourg ;;;;;;;;
Folies  Nouvelles;508,75;511,00;1.002,00;;572,00;384,00;591,00;3.568,75
Total;25.290,45;20.700,00;23.165,30;21.605,55;21.741,70;18.537,95;20.334,00;151.374,95
