Théâtres;1858-10-29;1858-10-30;1858-10-31;1858-11-01;1858-11-02;1858-11-03;1858-11-04;29 - 31 oct.;1 - 4 nov.
Opéra;;;;;;;;;
Théâtre Français;2.955,60;2.990,30;4.514,20;2.707,90;1.521,00;1.973,30;2.057,50;10.460,10;8.259,70
Opéra-Comique;1.778,50;1.936,00;4.685,00;3.902,00;615,00;1.903,50;1.592,50;8.399,50;8.013,00
Théâtre des Italiens;;6.385,00;;;8.834,50;;5.730,25;6.385,00;14.564,75
Odéon;535,75;418,00;1.600,00;996,00;228,50;3.473,75;259,25;2.553,75;4.957,50
Théâtre-Lyrique;907,50;5.006,75;3.215,25;5.225,00;3.302,25;982,75;4.870,75;9.129,50;14.380,75
Vaudeville;826,50;772,50;2.240,50;2.265,50;626,50;681,00;1.235,00;3.839,50;4.808,00
Théâtre des Variétés;2.189,00;2.243,00;3.861,00;3.496,50;1.534,00;2.188,50;2.021,00;8.293,00;9.240,00
Gymnase;;;;;;;;;
Palais-Royal;2.001,75;1.501,50;3.009,50;3.015,25;1.214,25;1.833,00;1.596,75;6.512,75;7.659,25
Porte Saint-Martin;;;;;;;;;
Gaîté;;;;;;;;;
Ambigu-Comique;1.124,75;1.239,50;3.304,90;2.840,70;1.200,15;1.118,90;;5.669,15;5.159,75
Théâtre Impérial du Cirque;;;;;;;;;
Folies-Dramatiques;755,55;840,10;2.054,55;1.985,15;743,10;558,30;2.102,20;3.650,20;5.388,75
Délassement Comiques;257,15;350,95;240,45;501,75;1.071,90;238,90;;848,55;1.812,55
Luxembourg ;;;;;;;;;
Folies  Nouvelles;616,25;710,25;1.773,00;1.605,75;523,00;523,20;638,00;3.099,50;3.289,95
Total;13.948,30;24.393,85;30.498,35;28.541,50;21.414,15;15.475,10;22.103,20;68.840,50;87.533,95
;;;;;;;;;
