Théâtres;1858-11-05;1858-11-06;1858-11-07;1858-11-08;1858-11-09;1858-11-10;1858-11-11;5 - 11 nov.
Opéra;;;;;;;;
Théâtre Français;2.543,60;2.359,30;4.231,90;2.114,90;2.107,50;1.975,00;2.248,20;17.580,40
Opéra-Comique;2.011,00;1.909,50;3.206,50;1.259,50;1.218,00;299,75;1.837,50;11.741,75
Théâtre des Italiens;;9.458,50;;6.014,00;5.883,80;2.279,25;;23.635,55
Odéon;;344,25;1.647,25;2.101,50;;;1.755,25;5.848,25
Théâtre-Lyrique;1.070,75;5.002,50;3.144,75;4.622,50;4.211,50;940,75;5.033,75;24.026,50
Vaudeville;794,00;860,00;1.382,50;696,50;861,50;1.231,00;824,50;6.650,00
Théâtre des Variétés;1.970,00;2.346,50;3.012,50;1.848,50;1.741,50;2.066,50;1.713,00;14.698,50
Gymnase;;;;;;;;
Palais-Royal;2.200,75;;3.032,75;1.716,00;1.717,25;1.816,00;1.516,50;11.999,25
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;;1.811,15;3.802,25;3.213,90;3.302,90;3.352,65;3.239,65;18.722,50
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;668,05;771,35;1.973,15;1.045,20;660,50;563,80;560,45;6.242,50
Délassement Comiques;462,50;360,75;;;360,00;339,60;;1.522,85
Luxembourg ;;;;;;;;
Folies  Nouvelles;358,25;581,25;1.229,75;378,75;421,00;451,25;439,75;3.860,00
Total;12.078,90;25.805,05;26.663,30;25.011,25;22.485,45;15.315,55;19.168,55;146.528,05
;;;;;;;;
