Théâtres;1858-11-26;1858-11-27;1858-11-28;1858-11-29;1858-11-30;26 - 30 nov.
Opéra;;;;;;
Théâtre Français;1.293,50;3.634,70;4.202,80;3.844,00;1.979,60;14.954,60
Opéra-Comique;2.031,00;;5.479,00;1.612,00;961,00;10.083,00
Théâtre des Italiens;;7.204,30;3.694,00;;6.551,50;17.449,80
Odéon;1.154,15;1.270,50;2.002,75;1.527,75;1.255,25;7.210,40
Théâtre-Lyrique;986,50;;3.204,00;1.197,50;4.516,25;9.904,25
Vaudeville;3.667,50;3.820,00;1.813,50;4.148,50;4.105,00;17.554,50
Théâtre des Variétés;1.801,00;2.271,50;2.852,00;2.047,00;1.800,50;10.772,00
Gymnase;;;;;;
Palais-Royal;1.706,25;2.205,25;;1.792,75;1.416,50;7.120,75
Porte Saint-Martin;;;;;;
Gaîté;;;;;;
Ambigu-Comique;3.202,40;3.202,15;3.847,70;3.600,15;3.303,75;17.156,15
Théâtre Impérial du Cirque;;;;;;
Folies-Dramatiques;838,95;951,70;2.128,15;1.200,40;873,10;5.992,30
Délassement Comiques;242,85;;1.135,25;553,65;503,00;2.434,75
Luxembourg ;;;;;;
Folies  Nouvelles;479,50;808,00;1.572,25;567,00;586,50;4.013,25
Total;17.403,60;25.368,10;31.931,40;22.090,70;27.851,95;124.645,75
;;;;;;
