Théâtres;1858-12-15;1858-12-16;1858-12-17;1858-12-18;1858-12-19;1858-12-20;1858-12-21;15 - 21 déc.
Opéra;;;;;;;;
Théâtre Français;2.037,20;3.382,20;1.977,60;1.938,20;4.800,40;1.719,70;2.869,20;18.724,50
Opéra-Comique;3.101,00;1.834,00;3.162,25;1.091,00;4.483,00;1.602,00;1.029,00;16.302,25
Théâtre des Italiens;;7.039,40;;6.317,80;4.835,00;;8.078,60;26.270,80
Odéon;695,25;680,25;785,00;665,00;2.873,25;1.101,25;532,50;7.332,50
Théâtre-Lyrique;592,00;4.838,00;765,75;4.885,75;;4.197,00;;15.278,50
Vaudeville;3.347,50;3.834,00;4.052,50;3.822,50;3.877,00;3.275,00;2.007,25;24.215,75
Théâtre des Variétés;781,00;954,50;883,00;810,50;2.256,00;1.314,50;1.187,00;8.186,50
Gymnase;;;;;;;;
Palais-Royal;1.801,50;1.817,00;1.901,25;1.607,50;2.808,50;1.625,00;;11.560,75
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;1.900,50;3.021,70;3.217,40;3.020,30;3.803,25;3.048,05;2.838,75;20.849,95
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;514,10;668,05;;829,60;1.570,85;1.794,95;1.678,05;7.055,60
Délassement Comiques;273,25;;344,00;272,85;;454,80;2.325,25;3.670,15
Luxembourg ;;;;;;;;
Folies  Nouvelles;;520,00;485,75;1.002,50;;812,00;574,25;3.394,50
Total;15.043,30;28.589,10;17.574,50;26.263,50;31.307,25;20.944,25;23.119,85;162.841,75
;;;;;;;;
