Théâtres;1858-12-22;1858-12-23;1858-12-24;1858-12-25;1858-12-26;1858-12-27;1858-12-28;22 -28 déc.
Opéra;;;;;;;;
Théâtre Français;2.116,30;2.424,20;1.405,90;3.715,10;3.304,50;2.555,40;1.626,00;17.147,40
Opéra-Comique;2.609,00;1.190,50;1.388,00;2.875,00;3.620,00;2.914,50;1.669,50;16.266,50
Théâtre des Italiens;;6.615,90;;6.285,05;2.823,50;;7.273,55;22.998,00
Odéon;687,00;576,50;309,50;2.238,50;1.663,00;646,25;527,25;6.648,00
Théâtre-Lyrique;681,25;888,50;560,25;5.275,25;1.748,50;710,25;980,25;10.844,25
Vaudeville;3.681,15;3.275,10;3.127,00;2.839,00;3.871,25;2.910,50;3.217,00;22.921,00
Théâtre des Variétés;975,50;975,00;1.279,50;2.019,00;1.724,50;;;6.973,50
Gymnase;;;;;;;;
Palais-Royal;1.418,95;1.306,40;1.909,50;3.402,25;3.104,25;2.332,00;2.507,25;15.980,60
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;2.662,40;2.304,05;2.456,90;3.718,25;3.716,50;2.631,40;1.806,75;19.296,25
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;1.667,15;1.652,10;1.543,05;;2.237,15;1.287,70;1.489,95;9.877,10
Délassement Comiques;257,10;;771,40;1.220,70;1.205,40;910,65;951,30;5.316,55
Luxembourg ;;;;;;;;
Folies  Nouvelles;648,50;1.466,75;703,75;1.466,75;929,50;382,50;577,75;6.175,50
Total;17.404,30;22.675,00;15.454,75;35.054,85;29.948,05;17.281,15;22.626,55;160.444,65
;;;;;;;;
