Théâtres;1858-12-29;1858-12-30;1858-12-31;29 - 31 déc.
Opéra;;;;
Théâtre Français;1.952,40;2.643,70;2.746,00;7.342,10
Opéra-Comique;4.224,00;3.141,50;4.410,00;11.775,50
Théâtre des Italiens;;7.037,35;;7.037,35
Odéon;708,75;562,00;847,25;2.118,00
Théâtre-Lyrique;564,00;4.901,75;476,75;5.942,50
Vaudeville;2.760,00;2.903,00;2.480,50;8.143,50
Théâtre des Variétés;;1.671,00;2.241,50;3.912,50
Gymnase;;;;
Palais-Royal;2.505,75;2.413,25;1.758,75;6.677,75
Porte Saint-Martin;;;;
Gaîté;;;;
Ambigu-Comique;2.304,75;2.602,25;;4.907,00
Théâtre Impérial du Cirque;;;;
Folies-Dramatiques;1.252,40;1.008,90;808,00;3.069,30
Délassement Comiques;1.022,05;816,20;940,75;2.779,00
Luxembourg ;;;;
Folies  Nouvelles;540,50;;347,25;887,75
Total;17.834,60;29.700,90;17.056,75;64.592,25
;;;;
