An 1859 - Janvier,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,20037.6,17848.9,18974.3,18302.6,10115.8,,85279.2
Opéra-Comique,25902.75,21592.25,18915.5,21390.25,12048.5,,99849.25
Théâtre des Italiens,23010.9,26332.3,27657.2,26863.95,13589.95,,117454.3
Odéon,8470.25,4738.5,9291.5,6443,5044,,33987.25
Théâtre-Lyrique,25625,21333.5,24144.25,25796.25,12831.75,,109730.75
Vaudeville,21681.5,20575.5,25463,18235,8301.5,,94256.5
Théâtre des Variétés,21956.5,21328.5,22592,20076,9686,,95639
Gymnase,,,,,,,0
Palais-Royal,16039.75,13439.5,15347.25,15118.75,7419.15,,67364.4
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,24146.35,18877.05,17269.65,14856.7,4737.15,,79886.9
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,13381.7,17622.45,8202.2,6066.5,4629.1,,49901.95
Délassement Comiques,8532.35,7897.45,8051.15,7352.25,3386.2,,35219.4
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,5799.5,3909.01,4628.5,4140.61,2841.25,,21318.87
Total,214584.15,195494.91,200536.5,184641.86,94630.35,,889887.77
