An 1859 - Octobre,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,17632.4,18184.4,18386.2,16773.6,7608.6,,78585.2
Opéra-Comique,16204.99,18051,30620.75,24519.25,10157.5,,99553.49
Théâtre des Italiens,19226.95,18814.6,15475.75,18924.65,7937.4,,80379.35
Odéon,4504.75,6450,6272.75,6186.75,5188.25,,28602.5
Théâtre-Lyrique,13293.75,17831,13642.75,11479.85,,,56247.35
Vaudeville,9516,14965.2,12929,8108.5,6320,,51838.7
Théâtre des Variétés,9385.5,10324,10284.5,9758.5,4058.5,,43811
Gymnase,6754.75,12533.5,14035.5,10460.5,4773.75,,48558
Palais-Royal,11001.01,13561,13787.45,10288.35,5322.1,,53959.91
Porte Saint-Martin,10538.75,8495.49,31737,21108.5,11006,,82885.74
Gaîté,12002.9,15108.2,14033.7,10374.65,4537.4,,56056.85
Ambigu-Comique,16742.95,17053.2,,19260.3,7413.2,,60469.65
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,7094.5,6598.4,6035.45,3979.7,3580.95,,27289
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,4994.5,6342,6974.5,5297.5,2392,,26000.5
Folies Nouvelles,,,,,,,
Total,158893.7,184311.99,194215.3,176520.6,80295.65,,794237.24
