An 1859 - Décembre,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,6019.1,24911.6,25110,21869.9,31262.89,4629.5,113802.99
Opéra-Comique,5087.5,14634.25,17684.75,9998.5,13838.75,2688,63931.75
Théâtre des Italiens,6363.35,19286.85,25978.2,17875.05,24161.7,7460.7,101125.85
Odéon,3169.75,14079.25,10587.84,6763.5,7766.25,690.5,43057.09
Théâtre-Lyrique,7991.25,26937,23391.5,19932.5,26286.5,4905.5,109444.25
Vaudeville,3104,12510,10675.5,11807.1,12990,845.5,51932.1
Théâtre des Variétés,2245.5,13158.5,8350,21855,33876,3215,82700
Gymnase,5352.5,25540.75,27904.5,22100.65,32557.25,2559.75,116015.4
Palais-Royal,3315.9,13126.25,10610.15,5051.5,14768.9,1612,48484.7
Porte Saint-Martin,5838.25,20077.15,15483,8346,31678.75,4207.25,85630.4
Gaîté,4684.1,17097.85,15292.4,11293.5,14586.55,911.5,63865.9
Ambigu-Comique,1219.75,10479.7,6935.5,4288.5,1489.25,,24412.7
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,1416.35,5777.45,3386.85,7390.7,14367.05,1196.7,33535.1
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,3751.5,11069.5,9460.5,6246.5,7232.5,951,38711.5
Folies Nouvelles,,,,,,,
Total,59558.8,228686.1,210850.69,174818.9,266862.34,35872.9,976649.73
