Anno 1859 - Marzo,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,10248.4,21749.8,17497,17232.2,18344.5,,85071.9
Opéra-Comique,10765.25,28584.5,14307.75,8878.25,11982.5,,74518.25
Théâtre des Italiens,17324.2,26862.35,46534.95,34256.15,40452.95,,165430.6
Odéon,2672.75,8488.85,7778.75,4665.75,4585.25,,28191.35
Théâtre-Lyrique,10880,20637.5,10044.5,18858.5,19998,,80418.5
Vaudeville,9588,14443.5,10526,14282.5,9830.5,,58670.5
Théâtre des Variétés,4762.5,17220.5,17411,14435.5,12334,,66163.5
Gymnase,,,11191.25,14752.75,13847.5,,39791.5
Palais-Royal,10217.75,20248,14866,14876.2,12571,,72778.95
Porte Saint-Martin,,,0,,,,
Gaîté,,,0,,,,
Ambigu-Comique,4574.8,14753.5,23449.6,18126.45,15936.8,,76841.15
Théâtre Impérial du Cirque,,,0,0,,,
Folies-Dramatiques,4703.15,8205.98,6818.5,7421.15,7590.55,,34739.33
Délassement Comiques,2233.7,4737.45,0,,,,6971.15
Luxembourg,,,0,,,,
Beaumarchais,,,0,,,,
Bouffes Parisiens,6202,13239.5,11754.5,12583,7474,,51253
Folies Nouvelles,1660.08,7810.75,3523.5,1902.25,3765.75,,18662.33
Total,95832.58,206982.18,195703.3,182270.65,178713.3,,859502.01
