An 1859 - Avril,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,2065.1,16560.6,17042.3,11411.9,18491.6,2209.7,67781.2
Opéra-Comique,2008.5,18578.25,21646,24760.5,33946,3709,104648.25
Théâtre des Italiens,,36020.6,27515.7,29895.6,27345.15,0,120777.05
Odéon,312.25,3302.75,6112.5,3986.75,4916,1497.25,20127.5
Théâtre-Lyrique,5211.25,13318,31019,19061.25,20180,885.75,89675.25
Vaudeville,1551.5,11892.5,9939.5,4454.75,8823.5,2403.5,39065.25
Théâtre des Variétés,1201.5,9834,13044.5,9768,15121,1053,50022
Gymnase,1781.75,10677.25,11209,6249,11989,1372.25,43278.25
Palais-Royal,3213.5,10022.75,11355,10027.75,9728.25,1303.7,45650.95
Porte Saint-Martin,,,0,,,,
Gaîté,2374,14504.15,12292.39,9085.95,12886.6,1234.65,52377.74
Ambigu-Comique,2314.5,12922.8,12035.5,8288.65,9508.3,,45069.75
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,1345,7870.95,6299.35,4843.3,6247.65,1238.2,27844.45
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,1658.5,11184.5,10960.5,9840.5,10957,1492,46093
Folies Nouvelles,,1213,2049.5,565,,,3827.5
Total,25037.35,177902.1,192520.74,152238.9,190140.05,18399,756238.14
