An 1859 - Mai,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,13188.5,13400.4,20281.7,15540.4,8993.2,,71404.2
Opéra-Comique,27751.4,27281,30798.5,30333.25,13645.75,,129809.9
Théâtre des Italiens,24270,,,,,,24270
Odéon,6306.25,2930.75,4297.4,3509.5,1731.75,,18775.65
Théâtre-Lyrique,15088,16620,24640.25,33288.25,9973.75,,99610.25
Vaudeville,14996,10531,14381.5,9908.05,3899.5,,53716.05
Théâtre des Variétés,7782,5256,8762,8519,3462.5,,33781.5
Gymnase,7188.75,5773.5,7550.5,7451.5,2826.75,,30791
Palais-Royal,10367.25,9765.95,12198.85,7430.9,5203.2,,44966.15
Porte Saint-Martin,,,,,,,
Gaîté,9802,5362.4,11564.3,7280.7,2831.95,,36841.35
Ambigu-Comique,6655.15,5665.15,7047.05,5740.71,1052.75,,26160.81
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,4233.05,2325.2,8645.35,5398.5,3000.95,,23603.05
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,7281,7936,10374.5,7443,3233,,36267.5
Folies Nouvelles,,,,,,,
Total,154909.35,112847.35,160541.9,141843.76,59855.05,,629997.41
