An 1859 - Juin,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,5639,13813.3,7956.7,12186.1,3815.8,,43410.9
Opéra-Comique,13419.5,14346.5,16055.1,9094.25,4913.25,,57828.6
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,7886.75,14175.25,10874,7992.75,2851.5,,43780.25
Vaudeville,2618,3364.5,4762.5,9485.5,2211,,22441.5
Théâtre des Variétés,2859.5,3241,3988,5270.5,1617,,16976
Gymnase,1521.5,4072,3300.25,4326.5,1164.4,,14384.65
Palais-Royal,3605.5,4663.55,4961.85,6587.15,1551.2,,21369.25
Porte Saint-Martin,,,,,7015,,7015
Gaîté,2123,3455.15,7983.3,7663.35,2202.75,,23427.55
Ambigu-Comique,5719.55,15966,13636.2,16157.45,5694.1,,57173.3
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,2386.25,2694.2,3866.65,4298.45,1552.85,,14798.4
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,2828,3006,3921.5,4291,2065,,16111.5
Folies Nouvelles,,,,,,,
Total,50606.55,82797.45,81306.05,87353,36653.85,0,338716.9
