An 1859 - Août,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,3082.6,2102.2,9391.9,12844.7,6996,,34417.4
Opéra-Comique,2669.5,2138.5,13083.5,10130.5,8933.25,,36955.25
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,1772.5,555.5,4797,2981,3217,,13323
Théâtre des Variétés,1884,1294.5,5503,4550.5,6101,,19333
Gymnase,1183.75,172.25,4517.75,2858.75,4069.5,,12802
Palais-Royal,1911.8,816.8,6408.45,2784.95,5568,,17490
Porte Saint-Martin,4030.51,1875.5,12096.5,6641,6576.25,,31219.76
Gaîté,,3940.8,10419.6,8191.8,9507.9,,32060.1
Ambigu-Comique,2513.15,1235.5,5002.65,2335.4,3762.3,,14849
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,2148.51,4083.9,3852.7,2428.5,4012.2,,16525.81
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,2244.5,1213,5331,3783,2935,,15506.5
Folies Nouvelles,,,,,,,
Total,23440.82,19428.45,80404.05,59530.1,61678.4,,244481.82
