An 1859- Septembre,,,,,,,
Théâtres,Semaines,,,,,,Total Mois
Opéra,,,,,,,
Théâtre Français,2225.1,8527.9,10327.4,13326.9,15815.4,,50222.7
Opéra-Comique,2763.25,13669,18323.75,20541.75,18416.75,,73714.5
Théâtre des Italiens,,,,,7,,7
Odéon,2001,4388.25,3784,4422.25,4470.75,,19066.25
Théâtre-Lyrique,2922.71,8918,13163.25,12078.76,13141.25,,50223.97
Vaudeville,2264.5,10666,13595,14454.5,11723,,52703
Théâtre des Variétés,2855.5,8683.5,14060,11273.75,12010,,48882.75
Gymnase,1547,6524,7460.25,11410.75,6813.25,,33755.25
Palais-Royal,1965.4,8715.95,10359.7,13827.7,11452.25,,46321
Porte Saint-Martin,2162,9224,11793.75,12710,10228.25,,46118
Gaîté,3970.15,8971.3,13856.55,14590.15,15092.5,,56480.65
Ambigu-Comique,2855.75,10952.3,9006.6,10846.7,7166.75,,40828.1
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,1820.6,7011.4,7041.35,6313.55,6802.4,,28989.3
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,989,4125.5,4696,7529.5,5238.5,,22578.5
Folies Nouvelles,,,,,,,
Total,30341.96,110377.1,137467.6,153326.26,138378.05,0,569890.97
