Théâtres,1859-03-19,1859-03-20,1859-03-21,1859-03-22,1859-03-23,1859-03-24,1859-03-25,19- 25 mar.
Opéra,,,,,,,,
Théâtre Français,1802.4,2992,2696.7,2655.2,2770,1954.5,2361.4,17232.2
Opéra-Comique,3084.75,3787.5,2006,,,,,8878.25
Théâtre des Italiens,10913.7,8143.6,,7517.75,,7681.1,,34256.15
Odéon,545,1210,440.25,326.25,1855.5,170,118.75,4665.75
Théâtre-Lyrique,425.75,1528,3653.25,732.5,4721.25,2651.25,5146.5,18858.5
Vaudeville,4798,1529.5,1143,1751.5,2004,1574,1482.5,14282.5
Théâtre des Variétés,2634.5,3345,2025.5,1741,2881.5,1808,2.003.50,14435.5
Gymnase,3201,1681,2383.5,2622.75,2592,2272.5,"2,521,00",14752.75
Palais-Royal,2205.75,2207.75,2407,1811.75,2114.7,2011.25,2118,14876.2
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,3004.15,3712.9,3001.25,3103.25,2604.9,2700,"2,796,30",18126.45
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,706.2,1406.35,648.35,2073.15,1.115.80,1249.15,1337.95,7421.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,1648.5,1963.5,2014,2089.5,1887.5,2980,12583
Folies Nouvelles,472.5,,364.5,,502.5,562.75,,1902.25
Total,33793.7,33192.1,22732.8,26349.1,24135.85,26522,15545.1,182270.65
