Théâtres,1859-03-26,1859-03-27,1859-03-28,1859-03-29,1859-03-30,1859-03-31,1859-04-01,26 - 31 mar.,1 avr.
Opéra,,,,,,,,,
Théâtre Français,3165.5,3303.8,2288,2842.9,2493.3,4251,2065.1,18344.5,2065.1
Opéra-Comique,,4902.5,,2228,,4852,2008.5,11982.5,2008.5
Théâtre des Italiens,11188.2,8347.5,10460.8,,,10456.45,,40452.95,
Odéon,290,1553.25,1158,400.5,423.5,760,312.25,4585.25,312.25
Théâtre-Lyrique,2522,2286,5230.25,1455.25,5237.5,3267,5211.25,19998,5211.25
Vaudeville,941.5,1120,1805,1635,2145.5,2183.5,1551.5,9830.5,1551.5
Théâtre des Variétés,1951.5,2974,1846.5,1393,1646.5,2522.5,1201.5,12334,1201.5
Gymnase,2668.75,2480,1802.5,1923.25,2315,2658,1781.75,13847.5,1781.75
Palais-Royal,2406.75,2517.25,1720,1705.5,1703.5,2518,3213.5,12571,3213.5
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,2374,,2374
Ambigu-Comique,2607.65,3600,2301.25,2121.9,2138.2,3167.8,2314.5,15936.8,2314.5
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,2108.6,1351.4,1201.8,1053.85,1874.9,1345,7590.55,1345
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,1910.5,1706.5,1866,1991,1658.5,7474,1658.5
Folies Nouvelles,,1102.75,533.75,413,1716.25,,,3765.75,
Total,27741.85,36295.65,32407.95,19026.6,18175.8,30045.7,25037.35,178713.3,25037.35
