Théâtres,1859-04-23,1859-04-24,1859-04-25,1859-04-26,1859-04-27,1859-04-28,1859-04-29,23 - 29  avr.
Opéra,,,,,,,,
Théâtre Français,,3503.4,4427.7,2578.3,2737.8,2743.8,2500.6,18491.6
Opéra-Comique,,5463,6429,5113.5,6449.5,4001.5,6489.5,33946
Théâtre des Italiens,7775.5,"9,124,50",,10191.55,,9378.1,,27345.15
Odéon,,1803,2147.75,332.75,164.5,148,320,4916
Théâtre-Lyrique,994,1763.75,5233.75,1455.5,4828,904,5001,20180
Vaudeville,831.5,1196,1316,589.5,1322,1561.5,2007,8823.5
Théâtre des Variétés,4793.5,2004.5,2302,1649.5,1561,1427.5,1383,15121
Gymnase,1.346.75,1961.25,3000.5,2179.5,1603,1516,1728.75,11989
Palais-Royal,2079.75,,2160.25,1607.25,1410,1363.5,1107.5,9728.25
Porte Saint-Martin,,,,,,,,
Gaîté,1340.5,2874.75,3873.75,1532.4,1175.65,1018.8,1070.75,12886.6
Ambigu-Comique,784.75,2318.65,2701.4,1176.5,975.25,762,789.75,9508.3
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,482.4,1528.8,1740.15,858.55,601.75,426.05,609.95,6247.65
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1435.5,1621,2034,1609,1595,1427,1235.5,10957
Folies Nouvelles,,,,,,,,
Total,20517.4,26038.1,37366.25,30873.8,24423.45,26677.75,23923.3,190140.05
