Théâtres,1859-04-30,1859-05-01,1859-05-02,1859-05-03,1859-05-04,1859-05-05,1859-05-06, 30  avr.,1 - 6 mai
Opéra,,,,,,,,,
Théâtre Français,2209.7,2730.3,1566.5,1967.8,2628,2381,1914.9,2209.7,13188.5
Opéra-Comique,3709,2062.5,6405.5,3323.5,6527,2968,6464.9,3709,27751.4
Théâtre des Italiens,,,,17678,,,6592,0,24270
Odéon,1497.25,23,1399,3021,961.5,453.25,448.5,1497.25,6306.25
Théâtre-Lyrique,885.75,,3988.25,1654.5,4617.75,728.25,4099.25,885.75,15088
Vaudeville,2403.5,1106,3001,2520.5,2722.5,3004,2642,2403.5,14996
Théâtre des Variétés,1053,1717.5,1337,1181,1455.5,1060.5,1030.5,1053,7782
Gymnase,1372.25,1682.75,1306.5,1125.25,1181.75,867,1025.5,1372.25,7188.75
Palais-Royal,1303.7,1937.5,1836,1828.5,1720.75,1933.25,1111.25,1303.7,10367.25
Porte Saint-Martin,,,,,,,,0,
Gaîté,1234.65,2538,1644,1661.7,1500.15,1454.4,1003.75,1234.65,9802
Ambigu-Comique,,1275.5,,1559.8,1300.95,1400.25,1118.65,0,6655.15
Théâtre Impérial du Cirque,,,,,,,,0,
Folies-Dramatiques,1238.2,1223.95,854.1,844.9,730.95,579.15,,1238.2,4233.05
Délassement Comiques,,,,,,,,0,
Luxembourg,,,,,,,,0,
Beaumarchais,,,,,,,,0,
Bouffes Parisiens,1492,1383.5,1064,1517.5,1316.5,1172,827.5,1492,7281
Folies Nouvelles,,,,,,,,,
Total,18399,17680.5,24401.85,39883.95,26663.3,18001.05,20695.15,18399,154909.35
