Théâtres,1859-05-21,1859-05-22,1859-05-23,1859-05-24,1859-05-25,1859-05-26,1859-05-27,21- 27 mai
Opéra,,,,,,,,
Théâtre Français,2327.6,1770.2,2830.6,1620.3,2899.6,1573.2,2518.9,15540.4
Opéra-Comique,6383.5,2416.5,5534.5,5581.5,2575.25,5917,1925,30333.25
Théâtre des Italiens,,,,,,,,
Odéon,488.5,982.5,382.75,288.75,436.75,426,504.25,3509.5
Théâtre-Lyrique,4054,711.25,2115.25,18703.5,520.5,4115.25,3068.5,33288.25
Vaudeville,1838.5,1373,1339.5,1407.05,1408.5,1423.5,1118,9908.05
Théâtre des Variétés,,1439.5,1336,860,1853.5,1847.5,1182.5,8519
Gymnase,1452.25,851,832.25,1032,1232.25,1139.75,912,7451.5
Palais-Royal,1105.9,1120.15,713.5,775.5,1701.45,1207.5,806.9,7430.9
Porte Saint-Martin,,,,,,,,0
Gaîté,977.15,1715.95,924.9,760.9,1103.4,923.4,875,7280.7
Ambigu-Comique,883.9,1813,600.05,600.96,626.15,501.75,714.9,5740.71
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,837.8,1119.7,783.2,595.5,772.75,618,671.55,5398.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1170.5,680.5,1132,886.5,1149.5,1212.5,1211.5,7443
Folies Nouvelles,,,,,,,,
Total,21519.6,15993.25,18524.5,33112.46,16279.6,20905.35,15509,141843.76
