Théâtres,1859-05-28,1859-05-29,1859-05-30,1859-05-31,1859-06-01,1859-06-02,1859-06-03,28- 31  mai,1 - 3 juin.
Opéra,,,,,,,,,
Théâtre Français,1853.2,2941.8,1679.3,2518.9,1391.9,3145.2,1101.9,8993.2,5639
Opéra-Comique,5987.5,1238.5,4956.5,1463.25,5471.5,2186,5762,13645.75,13419.5
Théâtre des Italiens,,,,,,,,,
Odéon,430.75,623.5,325,352.5,,,,1731.75,
Théâtre-Lyrique,3722,1794.25,1452.75,3004.75,1869.25,4152.5,1865,9973.75,7886.75
Vaudeville,1281.5,1080.5,757,780.5,898.5,1719.5,,3899.5,2618
Théâtre des Variétés,1204.5,709.5,735.5,813,973,1212,674.5,3462.5,2859.5
Gymnase,1011.5,532.25,631.5,651.5,695,376,450.5,2826.75,1521.5
Palais-Royal,821.5,652.25,724.45,3005,1311,1422.25,872.25,5203.2,3605.5
Porte Saint-Martin,,,,,,,,,
Gaîté,624.3,961.4,503,743.25,601.5,1130.75,390.75,2831.95,2123
Ambigu-Comique,362.75,690,,,,3318.75,2400.8,1052.75,5719.55
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,669.5,1075.8,618.65,637,642.4,1237.35,506.5,3000.95,2386.25
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,984,640.5,721.5,887,808.5,948.5,1071,3233,2828
Folies Nouvelles,,,,,,,,,
Total,18953,12940.25,13105.15,14856.65,14662.55,20848.8,15095.2,59855.05,50606.55
