Théâtres,1859-06-04,1859-06-05,1859-06-06,1859-06-07,1859-06-08,1859-06-09,1859-06-10,4 - 10  juin.
Opéra,,,,,,,,
Théâtre Français,1684.6,1106.9,6666.8,1246.1,662.4,1228.8,1217.7,13813.3
Opéra-Comique,1187.5,687,852.5,5476.5,663,4755,725,14346.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,3673.25,775.5,1797.25,1259.25,2528,1235.25,2906.75,14175.25
Vaudeville,412.5,285.5,432,733,470,531,500.5,3364.5
Théâtre des Variétés,590,356.5,389.5,704.5,419.5,431.5,349.5,3241
Gymnase,325.25,171.5,,2673.5,344.5,276.5,280.75,4072
Palais-Royal,644.9,541.4,632.9,1305.65,520.4,659.4,358.9,4663.55
Porte Saint-Martin,,,,,,,,
Gaîté,325.5,294,,,,1664.15,1171.5,3455.15
Ambigu-Comique,2054.25,3015.25,2536.8,2826.5,1900.15,2000.5,1632.55,15966
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,306.4,567.8,426.3,528.65,322.75,277.85,264.45,2694.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,704,478,,,711,568,545,3006
Folies Nouvelles,,,,,,,,
Total,11908.15,8279.35,13734.05,16753.65,8541.7,13350.1,9952.6,82797.45
