Théâtres,1859-06-11,1859-06-12,1859-06-13,1859-06-14,1859-06-15,1859-06-16,1859-06-17,11- 17  juin.
Opéra,,,,,,,,
Théâtre Français,1300.6,2295.6,1846.5,1600.7,913.3,2278.5,1338.1,7956.7
Opéra-Comique,5238,3469.5,860.6,5973,514,1138.5,664,16055.1
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1242,2015,3568.5,1310,2738.5,1122.75,402.25,10874
Vaudeville,734.5,1524,563.5,1039.5,901,823,1122.5,4762.5
Théâtre des Variétés,1115,1590.5,587.5,411.5,283.5,495,555.5,3988
Gymnase,687.25,1588.25,441.75,296.5,286.5,380.5,561.5,3300.25
Palais-Royal,1223.9,1540.25,902.65,720.4,574.65,410.15,820.5,4961.85
Porte Saint-Martin,,,,,,,,
Gaîté,1386,3155.5,1564.5,1100.65,776.65,865.55,2203,7983.3
Ambigu-Comique,2246.15,3921.5,3363.9,2102,2002.65,2002.55,2003,13636.2
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,359.2,1789.9,873.9,493.95,349.7,288.6,397.3,3866.65
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,666.5,969.5,843.5,778,664,494,752,3921.5
Folies Nouvelles,,,,,,,,
Total,16199.1,23859.5,15416.8,15826.2,10004.45,10299.1,10819.65,81306.05
