Théâtres,1859-06-25,1859-06-26,1859-06-27,1859-06-28,1859-06-29,1859-06-30,1859-07-01,25- 30  juin.,1 juil.
Opéra,,,,,,,,,
Théâtre Français,1039.6,554.4,753.4,966.8,501.6,839.3,662,3815.8,662
Opéra-Comique,2027,477.5,192.5,1746.25,470,2117.5,743.5,4913.25,743.5
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,1143.5,283,157.5,1038.25,229.25,1445.5,,2851.5,0
Vaudeville,429.5,303.5,307,437.5,733.5,558,481,2211,481
Théâtre des Variétés,312.5,358,169.5,395,382,345,123.5,1617,123.5
Gymnase,255,323.25,136,133.75,316.4,325.5,405.5,1164.4,405.5
Palais-Royal,221.9,235.1,229.4,360.4,504.4,410.1,311.7,1551.2,311.7
Porte Saint-Martin,,,,4716.5,2298.5,1878,2104.5,7015,2104.5
Gaîté,423.5,470.75,354.5,408,546,426.5,265.75,2202.75,265.75
Ambigu-Comique,1001.05,1638,1003.4,738.9,1312.75,1308.4,1101,5694.1,1101
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,153.5,339.35,385.55,269.7,404.75,365.7,241,1552.85,241
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,361,228,305,555,616,106,397,2065,397
Folies Nouvelles,,,,,,,,,
Total,7368.05,5210.85,3993.75,11766.05,8315.15,10125.5,6836.45,36653.85,6836.45
