Théâtres,1859-07-09,1859-07-10,1859-07-11,1859-07-12,1859-07-13,1859-07-14,1859-07-15,9 - 15  juil.
Opéra,,,,,,,,
Théâtre Français,657.4,340.2,214.8,254.4,205.6,340.1,521.1,2533.6
Opéra-Comique,180.25,501,387.5,740,285.75,672.5,329,3096
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,344,300,290.5,195,196.5,339.5,153,1818.5
Théâtre des Variétés,126,,301.5,121.5,137.5,137.5,243.5,1067.5
Gymnase,186.75,289.5,193.5,183.5,114,129.5,187.5,1284.25
Palais-Royal,343.6,220.1,216.1,103.6,,155.35,256.6,1295.35
Porte Saint-Martin,,,,,,,,
Gaîté,284,631,259,228.5,189.25,216.5,289.5,2097.75
Ambigu-Comique,,901,600,308.75,438.5,375.75,501.4,3125.4
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,109.95,215.5,132.25,85.9,85.4,83.15,84.4,796.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,371,429.5,306,238.5,212.5,144.5,206,1908
Folies Nouvelles,,,,,,,,
Total,2602.95,3827.8,2901.15,2459.65,1865,2594.35,2772,19022.9
