Théâtres,1859-07-30,1859-07-31,1859-08-01,1859-08-02,1859-08-03,1859-08-04,1859-08-05,30 - 31  juil.,1 - 5 août
Opéra,,,,,,,,,
Théâtre Français,,,544.9,433.1,688.1,534.5,882,,3082.6
Opéra-Comique,591.5,608.5,362,314.5,241.5,1054.5,697,1200,2669.5
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,687,208.3,521,419,224.5,272,336,895.3,1772.5
Théâtre des Variétés,316,422,472,352.5,272,352,435.5,738,1884
Gymnase,351.5,345,236.5,236,176.75,234,300.5,696.5,1183.75
Palais-Royal,347.1,600.6,360.5,330.4,301.9,417.1,501.9,947.7,1911.8
Porte Saint-Martin,,,1049,948,733.26,627.25,673,,4030.51
Gaîté,575.25,662.75,,,,,,1238,
Ambigu-Comique,607.75,700,552,542,443.15,344.75,631.25,1307.75,2513.15
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,355.65,651.2,539.85,493.26,351,326,438.4,1006.85,2148.51
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,415.5,767,437.5,334,344.5,632,496.5,1182.5,2244.5
Folies Nouvelles,,,,,,,,,
Total,4247.25,4965.35,5075.25,4402.76,3776.66,4794.1,5392.05,9212.6,23440.82
