Théâtres,1859-08-06,1859-08-07,1859-08-08,1859-08-09,1859-08-10,1859-08-11,1859-08-12,6 - 12 août
Opéra,,,,,,,,
Théâtre Français,977.3,688.2,436.7,678,1276.5,936.8,1111.3,2102.2
Opéra-Comique,1462.5,422.5,253.5,525,780.5,509.5,727.5,2138.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,402.5,153,,282,,315,403.5,555.5
Théâtre des Variétés,569,441,284.5,446,638,543,560,1294.5
Gymnase,,172.25,,238,549.25,721,597.25,172.25
Palais-Royal,301.1,207.6,308.1,245.4,581.5,503.3,471.1,816.8
Porte Saint-Martin,536.5,893.5,445.5,,,499,,1875.5
Gaîté,1583.75,1412.05,945,1114.15,1684.75,980.65,1244.75,3940.8
Ambigu-Comique,403.5,603.75,228.25,281.75,837.15,432.75,,1235.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,289.5,3580.7,213.7,,348.7,253.3,241.6,4083.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,539,449,225,378.5,658,430,541.5,1213
Folies Nouvelles,,,,,,,,
Total,7064.65,9023.55,3340.25,4188.8,7354.35,6124.3,5898.5,19428.45
