Théâtres,1859-08-20,1859-08-21,1859-08-22,1859-08-23,1859-08-24,1859-08-25,1859-08-26,20- 26  août
Opéra,,,,,,,,0
Théâtre Français,1109.2,1037,793.7,7078.2,911.2,773.2,1142.2,12844.7
Opéra-Comique,2086,1231.25,2186.25,775.5,1343.5,537.5,1970.5,10130.5
Théâtre des Italiens,,,,,,,,0
Odéon,,,,,,,,0
Théâtre-Lyrique,,,,,,,,0
Vaudeville,347.5,594,543.5,438,309.5,261.5,487,2981
Théâtre des Variétés,675,694.5,862.5,643.5,467.5,458,749.5,4550.5
Gymnase,525.25,519.75,436.25,390.75,281.75,243.75,461.25,2858.75
Palais-Royal,377.6,521.2,445.35,451.85,260,306.1,422.85,2784.95
Porte Saint-Martin,958,1128.25,1163,904.75,754.75,777.25,955,6641
Gaîté,1037.25,1692,1240.5,1248.65,990.25,750.25,1232.9,8191.8
Ambigu-Comique,,1104.65,674.5,556.25,,,,2335.4
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,257.05,660.05,420.05,318.85,241.15,213.85,317.5,2428.5
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,596,690,671.5,524,534.5,320.5,446.5,3783
Folies Nouvelles,,,,,,,,0
Total,7968.85,9872.65,9437.1,13330.3,6094.1,4641.9,7867.7,59530.1
