Théâtres,1859-08-27,1859-08-28,1859-08-29,1859-08-30,1859-08-31,1859-09-01,1859-09-02,27 - 31  août,1 - 2 sep.
Opéra,,,,,,,,,
Théâtre Français,1897.5,1290.8,1135.7,828.1,1843.9,1221.1,1004,6996,2225.1
Opéra-Comique,1482.75,2573.5,489,2703.5,1684.5,2002.5,760.75,8933.25,2763.25
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,1353.75,647.25,,2001
Théâtre-Lyrique,,,,,,2057.21,865.5,,2922.71
Vaudeville,614,602,334.5,930.5,736,1474,790.5,3217,2264.5
Théâtre des Variétés,1094.5,992.5,661,1398,1955,1705.5,1150,6101,2855.5
Gymnase,325.5,770.25,775.75,1201.75,996.25,881.5,665.5,4069.5,1547
Palais-Royal,640,1350,921.4,1405.15,1251.45,1150.2,815.2,5568,1965.4
Porte Saint-Martin,1013.75,1463.75,1001,1560.5,1537.25,1158.5,1003.5,6576.25,2162
Gaîté,1355.5,2523.9,1600.9,2015.9,2011.7,2233.3,1736.85,9507.9,3970.15
Ambigu-Comique,541.9,1460.05,753.45,1006.9,,1586,1269.75,3762.3,2855.75
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,426.7,1008.7,1459,545.35,572.45,1302.65,517.95,4012.2,1820.6
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,493,514,419,687,822,551.5,437.5,2935,989
Folies Nouvelles,,,,,,,,,
Total,9885.1,14549.45,9550.7,14282.65,11566.6,18677.71,11664.25,61678.4,30341.96
