Théâtres,1859-09-03,1859-09-04,1859-09-05,1859-09-06,1859-09-07,1859-09-08,1859-09-09,3 - 9  sep.
Opéra,,,,,,,,
Théâtre Français,1267.7,1858.6,737.7,1148.6,1148.9,1282,1084.4,8527.9
Opéra-Comique,1515.5,2830,936.5,2169.5,1152.25,2626,2439.25,13669
Théâtre des Italiens,,,,,,,,
Odéon,751.25,1553,455.75,391.75,570.25,369,297.25,4388.25
Théâtre-Lyrique,1451.75,1908.25,710,1760,642.25,1611.5,834.25,8918
Vaudeville,1162,1904.5,1321,1671,1704,1338.5,1565,10666
Théâtre des Variétés,1533.5,1795,1077.5,863.5,1328.5,1183.5,902,8683.5
Gymnase,541,1665,981.25,682.75,650.5,991.5,1012,6524
Palais-Royal,1303,1510,1106.25,1125.25,1414.25,935.45,1321.75,8715.95
Porte Saint-Martin,1064.5,1897.75,880.5,836,665.75,2593,1286.5,9224
Gaîté,1405.7,2576.3,1900.05,1675,,,1414.25,8971.3
Ambigu-Comique,1401.75,2704.75,1733,1592.75,1565.55,1401.5,553,10952.3
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,414.65,1662.35,620.7,748.7,910.05,1674.15,980.8,7011.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,706,611,587,511,491.5,784,435,4125.5
Folies Nouvelles,,,,,,,,
Total,14518.3,24476.5,13047.2,15175.8,12243.75,16790.1,14125.45,110377.1
