Théâtres,1859-09-10,1859-09-11,1859-09-12,1859-09-13,1859-09-14,1859-09-15,1859-09-16,10 - 16 sep.
Opéra,,,,,,,,
Théâtre Français,1412.5,1746.6,1006,1474.7,1744.5,1161.1,1782,10327.4
Opéra-Comique,1925.5,3109,1536,2796.75,1921,4803,2232.5,18323.75
Théâtre des Italiens,,,,,,,,
Odéon,392.5,1161.25,459.5,376,404.75,498,492,3784
Théâtre-Lyrique,"2.9'0,00",1380.25,1741,3521,1848,2854.75,1818.25,13163.25
Vaudeville,1210,2105.5,1704,2008,2233,2176.5,2158,13595
Théâtre des Variétés,945,1332,1741,3521,1848,2854.75,1818.25,14060
Gymnase,744.25,1237.75,649.75,1004.5,1051.75,1618.5,1153.75,7460.25
Palais-Royal,1137.75,1452.75,1502.5,1605,1510,1507.5,1644.2,10359.7
Porte Saint-Martin,1564.75,2336.5,1446.25,1401.5,1521.5,1901.75,1621.5,11793.75
Gaîté,1400.5,2538.05,1906.15,2009.45,1728.65,2246,2027.75,13856.55
Ambigu-Comique,1201.4,2228.7,1368.25,1509,1488.25,504.5,706.5,9006.6
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,908,1678.8,992.8,951.1,734.15,906.75,869.75,7041.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,613.5,678,521,940.5,509,606.5,827.5,4696
Folies Nouvelles,,,,,,,,
Total,13455.65,22985.15,16574.2,23118.5,18542.55,23639.6,19151.95,137467.6
