Théâtres,1859-10-29,1859-10-30,1859-10-31,1859-11-01,1859-11-02,1859-11-03,1859-11-04,29 -31 oct.,1 - 4 nov.
Opéra,,,,,,,,,
Théâtre Français,1480,3713.5,2415.1,3602.6,1245.4,2530.1,1814.1,7608.6,9192.2
Opéra-Comique,2243.5,3746,4168,4787,3833.5,2416,5058.5,10157.5,16095
Théâtre des Italiens,7937.4,,,7533.7,,6415,,7937.4,13948.7
Odéon,853.5,3004.5,1330.25,3124.5,441,1575.25,1369.25,5188.25,6510
Théâtre-Lyrique,,,,4501,724,989.75,2567.25,,8782
Vaudeville,1670.5,3137,1512.5,2974,1396.5,,2251.5,6320,6622
Théâtre des Variétés,1026,1883.5,1149,2368,1468.5,1178,1197,4058.5,6211.5
Gymnase,908.5,2267.25,1598,2123.25,1062,3830.5,1718,4773.75,8733.75
Palais-Royal,1305.1,2514,1503,2908.25,1122,1312,1602.2,5322.1,6944.45
Porte Saint-Martin,2616,5006.25,3383.75,5393,3116.5,4069.25,4137.5,11006,16716.25
Gaîté,836.75,2127.25,1573.4,2819.9,,1970.65,2347.75,4537.4,7138.3
Ambigu-Comique,1404.4,3702.5,2306.3,3777,2034.4,2718.75,1061,7413.2,9591.15
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,220.5,1133.95,2226.5,2039.75,916.6,1146.85,866.45,3580.95,4969.65
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,595,922.5,874.5,1561.5,,838.5,652,2392,3052
Folies Nouvelles,,,,,,,,,
Total,23097.15,33158.2,24040.3,49513.45,17360.4,30990.6,26642.5,80295.65,124506.95
