Théâtres,1859-11-05,1859-11-06,1859-11-07,1859-11-08,1859-11-09,1859-11-10,1859-11-11,5 - 11 nov.
Opéra,,,,,,,,
Théâtre Français,2033.8,4005.9,3505.8,2443.4,4188.1,1583.1,4498.4,22258.5
Opéra-Comique,2711,4091,4656.5,2893.5,4557,2032,4957,25898
Théâtre des Italiens,7949,2448.5,,6843.3,,4975.5,,22216.3
Odéon,,3535.9,2173.5,1951.25,1668.5,1569.75,1577.75,12476.65
Théâtre-Lyrique,1048.25,3913.5,1007.5,2094.85,721.5,2072.25,652.75,11510.6
Vaudeville,2002.5,2723,1889,1653,1747,,1732,11746.5
Théâtre des Variétés,1353.5,3014,1607,1924.99,1752,2064,1642,13357.49
Gymnase,1783.75,1991.75,1490.25,1745.5,1451.25,1664.75,1230.75,11358
Palais-Royal,2022.65,2500,2219.25,2005.5,2207.25,2205,2137.95,15297.6
Porte Saint-Martin,4001,5129.75,3632.5,3854.5,3291.75,4014.5,3310.25,27234.25
Gaîté,2518.25,3715.95,3101.7,2913.55,2423.25,2761.75,2517.8,19952.25
Ambigu-Comique,1805.25,3702,2103.25,1902,1507.75,1805.25,1204.5,14030
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,817.90,2104.3,1214.75,909.45,628.7,672.3,618.75,6148.25
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,944.5,931.5,,,,632,,2508
Folies Nouvelles,,,,,,,,
Total,30173.45,43807.05,28601,33134.79,26144.05,28052.15,26079.9,215992.39
