Théâtres,1859-11-26,1859-11-27,1859-11-28,1859-11-29,1859-11-30,1859-12-01,1859-12-02,26 - 30 nov.,1 - 2 déc.
Opéra,,,,,,,,,
Théâtre Français,4508.8,3124.9,4450.5,3112.8,4549.7,4170.9,1848.2,19746.7,6019.1
Opéra-Comique,4262.5,3609,3249,2848,3001,1817.5,3270,16969.5,5087.5
Théâtre des Italiens,6637.75,2394.5,,5479.5,,6363.35,,14511.75,6363.35
Odéon,611.25,3569.25,1991.5,1351.75,1513,1648.5,1521.25,9036.75,3169.75
Théâtre-Lyrique,4902,3009.25,4813.25,2667,4689.5,3112,4879.25,20081,7991.25
Vaudeville,1332,2308.5,1441.5,,1856.5,1464,1640,6938.5,3104
Théâtre des Variétés,1364,2803,1350.5,1460,1153,1172.5,1073,8130.5,2245.5
Gymnase,1247.75,2123.75,,1332,1828.75,2230.75,3121.75,6532.25,5352.5
Palais-Royal,1130.75,2203.75,1018,1027.5,4023,1810.4,1505.5,9403,3315.9
Porte Saint-Martin,2186.25,4108,2781.5,2392,1941.75,3000.75,2837.5,13409.5,5838.25
Gaîté,2067.5,3644.15,2701.15,1869.2,2274.5,2372.2,2311.9,12556.5,4684.1
Ambigu-Comique,853.5,2707.5,3585.75,1067.75,847.75,1219.75,,9062.25,1219.75
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,1007.75,2136.2,1212.8,636.15,543.85,753.45,662.9,5536.75,1416.35
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1921.5,1032,1728,2038,1820.5,1863.5,1888,8540,3751.5
Folies Nouvelles,,,,,,,,,
Total,34033.3,38773.75,30323.45,27281.65,30042.8,32999.55,26559.25,160454.95,59558.8
