Théâtres,1859-12-17,1859-12-18,1859-12-19,1859-12-20,1859-12-21,1859-12-22,1859-12-23,17- 23 déc.
Opéra,,,,,,,,
Théâtre Français,4099.8,3384.5,3442.9,3190,1725.8,4020.7,2006.2,21869.9
Opéra-Comique,1292.5,3189.5,838.75,954,848,1960.75,915,9998.5
Théâtre des Italiens,6504.5,,,5232.2,,6138.35,,17875.05
Odéon,1006.75,1852.25,624.75,618,775.5,1028.5,857.75,6763.5
Théâtre-Lyrique,2608.25,2745,3201.75,1865,3305.25,2745.5,3461.75,19932.5
Vaudeville,2022.5,3062.6,852.5,1202.5,1546.5,1395,1725.5,11807.1
Théâtre des Variétés,1702.5,4038.5,2939.5,3171.5,3385.5,3361.5,3256,21855
Gymnase,3616.25,1494.25,3639.15,3559.25,3396.75,3319.25,3075.75,22100.65
Palais-Royal,1314.65,1304.5,765.2,847.9,819.25,,,5051.5
Porte Saint-Martin,1259.75,2554,1330.5,,,,3201.75,8346
Gaîté,1505.25,2483.3,1458,1427.5,1540.2,1404.75,1474.5,11293.5
Ambigu-Comique,662.75,1475.25,661.25,673.75,815.5,,,4288.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,1180.75,1804.55,1255.35,1613.55,,1536.5,7390.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1135.5,1165.5,714.5,843.5,757,810.5,820,6246.5
Folies Nouvelles,,,,,,,,
Total,28730.95,29929.9,22273.3,24840.45,20528.8,26184.8,22330.7,174818.9
