Théâtres,1859-12-31,,,,,,, 31 déc.
Opéra,,,,,,,,
Théâtre Français,4629.5,,,,,,,4629.5
Opéra-Comique,2688,,,,,,,2688
Théâtre des Italiens,7460.7,,,,,,,7460.7
Odéon,690.5,,,,,,,690.5
Théâtre-Lyrique,4905.5,,,,,,,4905.5
Vaudeville,845.5,,,,,,,845.5
Théâtre des Variétés,3215,,,,,,,3215
Gymnase,2559.75,,,,,,,2559.75
Palais-Royal,1612,,,,,,,1612
Porte Saint-Martin,4207.25,,,,,,,4207.25
Gaîté,911.5,,,,,,,911.5
Ambigu-Comique,,,,,,,,0
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,1196.7,,,,,,,1196.7
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,951,,,,,,,951
Folies Nouvelles,,,,,,,,0
Total,35872.9,0,0,0,0,0,0,35872.9
