Théâtres,1859-02-12,1859-02-13,1859-02-14,1859-02-15,1859-02-16,1859-02-17,1859-02-18,12 - 18 fév.
Opéra,,,,,,,,
Théâtre Français,2587.5,3533.1,2830.1,2631.7,2474.4,2778.7,3119.7,19955.2
Opéra-Comique,3160,5184.5,2736.75,2509,2482.5,3211.5,2183,21467.25
Théâtre des Italiens,10508.8,3007.5,,8790.3,,8570.5,,30877.1
Odéon,1358.25,3039,1515.75,1200.5,1266.5,1168.5,1055.5,10604
Théâtre-Lyrique,,3356.5,,1299,,1861.75,,6517.25
Vaudeville,2346,3016.5,1704,2127,2740.2,2144,2445,16522.7
Théâtre des Variétés,2257,2846,1403,1538.5,1571,1473.5,1659,12748
Gymnase,,,,,,,,
Palais-Royal,3307,3616,2904.75,3029,3026,3112,3011,22005.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1628,3023.2,1442.65,1664.5,1632.5,1553.25,1614.5,12558.6
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1162.15,,1617.3,1418.75,1420.4,1499.05,1477.2,8594.85
Délassement Comiques,,1237.85,877.7,587.5,721.25,831,768.1,5023.4
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2032.5,2000,1800,1901,2020,2864.5,1924,14542
Folies Nouvelles,655,1887.25,690.75,678,903,907.25,853.75,6575
Total,31002.2,35747.4,19522.75,29374.75,20257.75,31975.5,20110.75,187991.1
