Théâtres,1859-02-26,1859-02-27,1859-02-28,1859-03-01,1859-03-02,1859-03-03,1859-03-04,26 - 28 fév.,1 - 4 mar.
Opéra,,,,,,,,,
Théâtre Français,5713,4377.9,1754.3,1642.7,1384.1,3743.6,3478,11845.2,10248.4
Opéra-Comique,,4751.5,2747,2755,2402.5,3165,2442.75,7498.5,10765.25
Théâtre des Italiens,6848.15,5069,,8512.4,,8811.8,,11917.15,17324.2
Odéon,501.25,2717.5,1000.25,624.5,688.5,732.75,627,4219,2672.75
Théâtre-Lyrique,1086,3225.5,1128,1274,3467.25,1670.5,4468.25,5439.5,10880
Vaudeville,2001.5,3152,2752.5,2401,2574,2573,2040,7906,9588
Théâtre des Variétés,1604,3057.5,1523.5,1769,1437.5,1556,,6185,4762.5
Gymnase,,,,,,,,,
Palais-Royal,2813,3306.5,2403.5,2605.75,2500,2507.5,2604.5,8523,10217.75
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,1800.25,3053.65,1602.75,1606.15,1412,1556.65,,6456.65,4574.8
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,1079.55,2141.25,1447.7,1273.05,1059.4,1256.5,1114.2,4668.5,4703.15
Délassement Comiques,,,,600.5,551.95,600.4,480.85,,2233.7
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,2152,2094.5,2071,2041,1985.5,,2175.5,6317.5,6202
Folies Nouvelles,667,,,526.5,,518.33,615.25,667,1660.08
Total,26265.7,36946.8,18430.5,27631.55,19462.7,28692.03,20046.3,81643,95832.58
