An 1860- Octobre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,15347.9,17947.6,17942.4,17006.9,9236.2,,77481
Opéra-Comique,17733,24058.5,17731.5,17317.25,8899.5,,85739.75
Théâtre des Italiens,20577.25,31571.45,24080,24951.9,7990.8,,109171.4
Odéon,4235.25,6805.75,6511,7706,4198.25,,29456.25
Théâtre-Lyrique,6929.5,7633.75,13261,19684.25,8717.85,,56226.35
Vaudeville,6057,10563,7262,18320,10539,,52741
Théâtre des Variétés,8769,13301,15387,15649.5,8126.5,,61233
Gymnase,15617.25,17253.75,17567,11417.5,8066.25,,69921.75
Palais-Royal,10110.65,12863.1,14478.45,10725.65,6546.15,,54724
Porte Saint-Martin,34970.35,36239,27941,36902.25,9840.75,,145893.35
Gaîté,10279.3,12847.7,22473.75,19528.95,10201.15,,75330.85
Ambigu-Comique,12539.25,15738.25,12439.5,10904.5,4527.75,,56149.25
Théâtre Impérial du Cirque,20972,20941.7,14705.75,15174.15,7385.15,,79178.75
Folies-Dramatiques,5543.75,6559.3,7196.2,4578.1,1763.65,,25641
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,11066,12681.5,11608,9609,5122,,50086.5
Folies Nouvelles,,,,,,,
Total,200747.45,247005.35,230584.55,239475.9,111160.95,0,1028974.2
