An 1860 - Novembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,7932.3,17130,21147.5,21640,17550.3,,85400.1
Opéra-Comique,6705.25,14500.25,13994.25,20410.25,13546,,69156
Théâtre des Italiens,8222.55,28873,25600.95,30053.35,11209.1,,103958.95
Odéon,3594.75,7529.25,7621.5,8160,6052,,32957.5
Théâtre-Lyrique,9469.25,23672.25,17224.5,16851.5,16518.25,,83735.75
Vaudeville,6997.4,13896.5,10646,9802.5,9775.5,,51117.9
Théâtre des Variétés,6006.5,19154,17022,16331.5,13149.5,,71663.5
Gymnase,7064.5,15357.5,17248.75,12960.6,12586.25,,65217.6
Palais-Royal,8334,11664.65,13742.1,12380.45,11255.85,,57377.05
Porte Saint-Martin,5283.75,29709,19837.25,25432.5,10964.75,,91227.25
Gaîté,7679.1,17683.05,15677.5,17644.05,15688.9,,74372.6
Ambigu-Comique,4590.25,7729.65,2757.25,18833.75,22248,,56158.9
Théâtre Impérial du Cirque,6747.45,10951.2,10549.9,10330.4,3539.4,,42118.35
Folies-Dramatiques,4000.95,6834.4,8843.05,6818.4,6030.9,,32527.7
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,4869,9825,11184,11037,9991.5,,46906.5
Folies Nouvelles,,,,,,,
Total,97497,234509.7,213096.5,238686.25,180106.2,,963895.65
