Anno 1860 Juin,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,5366.3,17578.8,13500,20370.4,11173.3,,67988.8
Opéra-Comique,2811,13043.5,11204.5,18237.75,14112.25,,59409
Théâtre des Italiens,,,,,,,
Odéon,1328.5,,,,,,1328.5
Théâtre-Lyrique,376.5,10211.5,9740.25,11324.75,9424.75,,41077.75
Vaudeville,904,11867.5,8444.5,7025.5,3153.2,,31394.7
Théâtre des Variétés,2401.5,5421,18512,18778.5,8984.5,,54097.5
Gymnase,4172.5,9486.5,10603.95,10266.5,5313.5,,39842.95
Palais-Royal,3117.75,12162,7529.25,10764.6,4381.65,,37955.25
Porte Saint-Martin,2524.25,1924,12695.75,21365.75,13876,,52385.75
Gaîté,1936.5,10388.85,6884.5,6240.2,1528.25,,26978.3
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,647.75,5829.85,3977.35,2113,4605.85,,17173.8
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,25586.55,97913.5,103092.05,126486.95,76553.25,,429632.3
