An 1860- Juillet,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,10088.5,7096.9,12033.2,12459.3,8584.6,,50262.5
Opéra-Comique,12139,16672.25,21347.75,19459.5,7601.4,,77219.9
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,2861.9,3641.5,3748,5630.4,5021,,20902.8
Théâtre des Variétés,9436.5,10216.5,11702,13190.5,6757.5,,51303
Gymnase,4477.75,6897,8362,9181.75,4705,,33623.5
Palais-Royal,4211.6,4851.8,7482.75,15910.35,7366.5,,39823
Porte Saint-Martin,10970.25,8657.5,7611.5,12818.75,9125.25,,49183.25
Gaîté,7530.3,8282.5,5846.45,10474.5,6232.5,,38366.25
Ambigu-Comique,,,,11410.5,8110.5,,19521
Théâtre Impérial du Cirque,,,,,2718,,2718
Folies-Dramatiques,5899.85,3323.95,5498.8,,3826.8,,18549.4
Délassement Comiques,,,,6324.5,,,6324.5
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Totale,67615.65,69639.9,83632.45,116860.05,70049.05,,407797.1
