Anno 1860 - Août,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,6709.9,13598.9,12965.4,13731.5,8852,,55857.7
Opéra-Comique,8890.5,22728.35,20811.5,16823.5,11886.25,,81140.1
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,4771,14150,14138.5,13477,7323,,53859.5
Théâtre des Variétés,6860.5,12775,9527.5,11458.5,7793,,48414.5
Gymnase,4540,8479,6895.75,9915,5614.25,,35444
Palais-Royal,8709,15668.95,13715,15968.35,9960.95,,64022.25
Porte Saint-Martin,7594.75,11798.5,5331.51,9957.5,934.75,,35617.01
Gaîté,1101.5,11966.48,10146.4,10169.75,7763.05,,41147.18
Ambigu-Comique,5842.5,15297.5,18719.75,12811.5,11500.5,,64171.75
Théâtre Impérial du Cirque,3553,4006.5,9932.25,37118.1,29188.55,,83798.4
Folies-Dramatiques,2120.4,5575.45,3612.8,5384.7,8589.2,,25282.55
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,60693.05,136044.63,125796.36,156815.4,109405.5,,588754.94
