An 1860- Septembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,1260.3,12540.3,11255.3,11179.2,,4319.5,40554.6
Opéra-Comique,2327,18911.5,12231.5,19962.75,,4468,57900.75
Théâtre des Italiens,,0,,,,,
Odéon,1282,5551.75,3165,4575.25,,2584.5,17158.5
Théâtre-Lyrique,975.25,7230.5,6925.75,7928.75,,3636.5,26696.75
Vaudeville,1254,7531.5,7746.5,8455,,2246,27233
Théâtre des Variétés,1113.5,8391,7604.5,10468.5,,2930,30507.5
Gymnase,741.5,7427.75,8105,15697.5,,3489.5,35461.25
Palais-Royal,1701.75,12043.9,10788.4,11133,,3104.25,38771.3
Porte Saint-Martin,0,3013.5,32368.25,39367.25,,6013.75,80762.75
Gaîté,1060.4,11800.9,15412.45,14965.05,,3479.2,46718
Ambigu-Comique,1773.5,14867.5,10389.5,14416.25,,3857,45303.75
Théâtre Impérial du Cirque,4343,35399.25,30697,27874.15,,6273.85,104587.25
Folies-Dramatiques,1492.96,10161.5,7112.95,6384.95,,2013.05,27165.41
Délassement Comiques,,0,,,,,
Luxembourg,,0,,,,,
Beaumarchais,,0,,,,,
Bouffes Parisiens,,2137,14608.5,13573.5,,2156,32475
Folies Nouvelles,,0,,,,,
Total,19325.16,157007.85,178410.6,205981.1,,50571.1,611295.81
