An 1860,,,,,,,,,
Théâtres,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total an
Opéra,,,,,,,,,
Théâtre Français,72067.29,67988.8,50262.5,55857.7,40554.6,77481,85400.1,19564.2,469176.19
Opéra-Comique,47699.5,59409,77219.9,81140.1,57900.75,85739.75,69156,16713,494978
Théâtre des Italiens,,,,,,109171.4,103958.95,58446,271576.35
Odéon,26566.05,1328.5,,,17158.5,29456.25,32957.5,6612,114078.8
Théâtre-Lyrique,44421.24,41077.75,,,26696.75,56226.35,83735.75,24907.5,277065.34
Vaudeville,29459.59,31394.7,20902.8,53859.5,27233,52741,51117.9,7005,273713.49
Théâtre des Variétés,34061.5,54097.5,51303,48414.5,30507.5,61233,71663.5,13590,364870.5
Gymnase,43177.6,39842.95,33623.5,35444,35461.25,69921.75,65217.6,13690.5,336379.15
Palais-Royal,35600.85,37955.25,39823,64022.25,38771.3,54724,57377.05,13243.5,341517.2
Porte Saint-Martin,47748.25,52385.75,49183.25,35617.01,80762.75,145893.35,91227.25,34983,537800.61
Gaîté,28307.2,26978.3,38366.25,41147.18,46718,75330.85,74372.6,15609,346829.38
Ambigu-Comique,0,,19521,64171.75,45303.75,56149.25,56158.9,21396,262700.65
Théâtre Impérial du Cirque,0,,2718,83798.4,104587.25,79178.75,42118.35,,312400.75
Folies-Dramatiques,13241.45,17173.8,18549.4,25282.55,27165.41,25641,32527.7,6572.7,166154.01
Délassement Comiques,,,6324.5,,,,,,6324.5
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,8564.5,,,,32475,50086.5,46906.5,11724,149756.5
Folies Nouvelles,,,,,,,,,
Total,430915.02,429632.3,407797.1,588754.94,611295.81,1028974.2,963895.65,264056.4,4725321.42
