Théâtres,1860-05-06,1860-05-07,1860-05-08,1860-05-09,1860-05-10,1860-05-11,1860-05-12,06 - 12 mai
Opéra,,,,,,,,
Théâtre Français,2920.5,2932,3243.7,2900.4,3190,3157.5,2927.89,21271.99
Opéra-Comique,1732,1067.5,2428.5,1360,1676.5,1596,2702.5,12563
Théâtre des Italiens,,,,,,,,
Odéon,1173.25,643.25,772.25,525.25,541.5,604.5,1542.5,5802.5
Théâtre-Lyrique,646,1339.25,886.5,1552.25,3421.25,1298.5,3652.25,12796
Vaudeville,1131.59,1309,1596.5,1523,854,1102.5,1603.5,9120.09
Théâtre des Variétés,1405.5,1848.5,2056.5,,1186.5,1555,1617.5,9669.5
Gymnase,1376,1276,1676,1481.5,1192.25,1288.25,1515.85,9805.85
Palais-Royal,1115.5,1418.65,1604,1710.75,1101.1,1466.35,1701.15,10117.5
Porte Saint-Martin,3001,2090.75,2181.5,2254.75,1725.5,1914,1753,14920.5
Gaîté,1677.25,1166.25,1229.75,1120.75,725,925,823.65,7667.65
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,945.85,529.3,605.3,534.55,342,343.65,490.45,3791.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,660,698.5,979,751.5,562,646,1009,5306
Folies Nouvelles,,,,,,,,
Total,17784.44,16318.95,19259.5,15714.7,16517.6,15897.25,21339.24,122831.68
