Théâtres,1860-05-27,1860-05-28,1860-05-29,1860-05-30,1860-05-31,1860-06-01,1860-06-02,27 - 31 mai,1 - 2 juin.
Opéra,,,,,,,,,
Théâtre Français,3730.1,3337.4,3520.4,2005.9,1571.1,2933.9,2432.4,14164.9,5366.3
Opéra-Comique,3467,4376.5,1678,1594,1675,1443,1368,12790.5,2811
Théâtre des Italiens,,,,,,,,,
Odéon,2575,1046.25,4574,1618,1192,1328.5,,11005.25,1328.5
Théâtre-Lyrique,1220.25,3079,1745.5,1359.5,2328.25,,376.5,9732.5,376.5
Vaudeville,1144.5,1662,1106,1010.5,991.5,,904,5914.5,904
Théâtre des Variétés,1625,2095,1380.5,1081.5,1263.5,1363,1038.5,7445.5,2401.5
Gymnase,2331.25,3206,2367,2323.25,1777,2259.25,1913.25,12004.5,4172.5
Palais-Royal,2115.75,2130,1708,1500,1510.5,1612.5,1505.25,8964.25,3117.75
Porte Saint-Martin,2714.5,3613,1409.75,1638.5,1331,1375,1149.25,10706.75,2524.25
Gaîté,2206.4,2771.75,1353.25,1344.25,989.5,1001,935.5,8665.15,1936.5
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,1080.5,1696.75,628.75,455,764.3,,647.75,4625.3,647.75
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Totale,24210.25,29013.65,21471.15,15930.4,15393.65,13316.15,12270.4,106019.1,25586.55
