Théâtres,1860-06-03,1860-06-04,1860-06-05,1860-06-06,1860-06-07,1860-06-08,1860-06-09,3 - 9 juin..
Opéra,,,,,,,,
Théâtre Français,2782.3,2846.9,2800.5,1380.3,3111.4,1962.3,2695.1,17578.8
Opéra-Comique,1912.75,1680,1255.5,2781.5,1509,1334,2570.75,13043.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,2252.75,736,766.5,1671,1097,2668.5,1019.75,10211.5
Vaudeville,972.5,1143,2320,1595.5,2277.5,1690,1869,11867.5
Théâtre des Variétés,894.5,1034.5,1136.5,854.5,,,1501,5421
Gymnase,1576,2081.25,1968.25,1699,,,2162,9486.5
Palais-Royal,1860,1303.5,1649.75,1502.75,2310,1730.25,1805.75,12162
Porte Saint-Martin,1924,,,,,,,1924
Gaîté,2060.25,1371.9,1434.3,1266.9,1720,1428.75,1106.75,10388.85
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1484.25,,910.6,815.4,969.85,935.7,714.05,5829.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,17719.3,12197.05,14241.9,13566.85,12994.75,11749.5,15444.15,97913.5
