Théâtres,1860-06-10,1860-06-11,1860-06-12,1860-06-13,1860-06-14,1860-06-15,1860-06-16,10 - 16 juin.
Opéra,,,,,,,,
Théâtre Français,1691.5,1997.5,2454.3,993.9,1744.1,2336,2282.7,13500
Opéra-Comique,2518.5,1462.5,1538,1147.5,1833,1196,1509,11204.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1730.5,1603.25,1094.5,1357,991,1327.75,1636.25,9740.25
Vaudeville,1154,1152.5,1764,1179,561.5,906.5,1727,8444.5
Théâtre des Variétés,3073.5,2382,3036,2949.5,1831.5,2150,3089.5,18512
Gymnase,1616.5,1717.25,1835,1729,700.75,1173.7,1831.75,10603.95
Palais-Royal,1302.25,914.2,1641.5,,910.7,719.65,2040.95,7529.25
Porte Saint-Martin,,,1942,2893,2444.75,2397.25,3018.75,12695.75
Gaîté,1739.45,1214.9,941.4,942.5,622.5,600.25,823.5,6884.5
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1246.25,552.75,,667.05,446.3,375.45,689.55,3977.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,16072.45,12996.85,16246.7,13858.45,12086.1,13182.55,18648.95,103092.05
