Théâtres,1860-07-15,1860-07-16,1860-07-17,1860-07-18,1860-07-19,1860-07-20,1860-07-21,15 - 21 juil.
Opéra,,,,,,,,
Théâtre Français,1678,1203.4,2229.1,2128,1618.6,1650.5,1525.6,12033.2
Opéra-Comique,1019,705.5,2438.5,5235.5,992.25,5844.5,5112.5,21347.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,327,491.5,785.5,593.5,750.5,,800,3748
Théâtre des Variétés,1054.5,1747.5,1853.5,1856.5,1852.5,1702.5,1635,11702
Gymnase,914,1023.75,1472.5,1351.25,1250.5,1360.5,989.5,8362
Palais-Royal,426.5,614.9,901,712.45,726.5,1669.5,2431.9,7482.75
Porte Saint-Martin,1829.25,,1377,1448.75,1620.75,1335.75,,7611.5
Gaîté,1430.45,1485,1408.75,1522.25,,,,5846.45
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,995.3,786.5,743.4,893.35,809.05,737.65,533.55,5498.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,9674,8058.05,13209.25,15741.55,9620.65,14300.9,13028.05,83632.45
