Théâtres,1860-07-22,1860-07-23,1860-07-24,1860-07-25,1860-07-26,1860-07-27,1860-07-28,22 - 28  juil.
Opéra,,,,,,,,
Théâtre Français,3023.8,963.9,1834.2,1795.7,1358.5,1941,1542.2,12459.3
Opéra-Comique,3389,5518.5,1165,4623.5,1563.75,1386,1813.75,19459.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1816.5,900.4,613,480,604,729,487.5,5630.4
Théâtre des Variétés,3187.5,1605.5,1861,1274.5,1756,1894,1612,13190.5
Gymnase,2344.5,1224.25,1401.75,891,1016.25,1211,1093,9181.75
Palais-Royal,3013,2409.7,2312.5,2213.25,1806.25,2250.75,1904.9,15910.35
Porte Saint-Martin,3444,1227,2088,2006.25,,2229.75,1823.75,12818.75
Gaîté,3204.75,1606.4,1810.05,1329.25,1272.5,1251.55,,10474.5
Ambigu-Comique,3608,2071.25,2104.5,1817.75,1809,,,11410.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,2023.15,848.75,797.05,617,645.35,737.1,656.1,6324.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,29054.2,18375.65,15987.05,17048.2,11831.6,13630.15,10933.2,116860.05
