Théâtres,1860-07-29,1860-07-30,1860-07-31,1860-08-01,1860-08-02,1860-08-03,1860-08-04,29 - 31 juil.,1  - avr.
Opéra,,,,,,,,,
Théâtre Français,3750.9,2304.5,2529.2,913.6,1920.5,1960.5,1915.3,8584.6,6709.9
Opéra-Comique,2760,2131.9,2709.5,894.25,3044.25,2170,2782,7601.4,8890.5
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,1249.5,1136,2635.5,,2504,1516,751,5021,4771
Théâtre des Variétés,2802,1848.5,2107,1341.5,1410,2365.5,1743.5,6757.5,6860.5
Gymnase,2354.25,1432.5,918.25,779.75,1011.25,1515.25,1233.75,4705,4540
Palais-Royal,3005.5,1957,2404,1713.5,2223.75,2546.25,2225.5,7366.5,8709
Porte Saint-Martin,4058.5,2646.25,2420.5,1375,2153.5,2451.25,1615,9125.25,7594.75
Gaîté,2841.9,1562.45,1828.15,1101.5,,,,6232.5,1101.5
Ambigu-Comique,3519,2145.75,2445.75,1706.25,,2429.5,1706.75,8110.5,5842.5
Théâtre Impérial du Cirque,,1339,1379,879,1206,1468,,2718,3553
Folies-Dramatiques,2036.3,926.65,863.85,578.5,,838.85,703.05,3826.8,2120.4
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,28377.85,19430.5,22240.7,11282.85,15473.25,19261.1,14675.85,70049.05,60693.05
