Théâtres,1860-08-05,1860-08-06,1860-08-07,1860-08-08,1860-08-09,1860-08-10,1860-08-11,05 - 11 août
Opéra,,,,,,,,
Théâtre Français,2278.7,1490.5,2424.4,1758.1,1957.4,1871.3,1818.5,13598.9
Opéra-Comique,3221,3257.25,3530.5,3183,3420.5,2777,3339.1,22728.35
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1065,813,685.5,3355,3104,2024.5,3103,14150
Théâtre des Variétés,2445.5,1925,1622.5,2015.5,1684,1302,1780.5,12775
Gymnase,1621.5,1265.25,1206,1188.75,1181,956.5,1060,8479
Palais-Royal,2403.75,2108.25,2402,2215.25,2418.25,1602.75,2518.7,15668.95
Porte Saint-Martin,2576.5,1927.25,1980.75,1753,1905.75,1655.25,,11798.5
Gaîté,2472.03,1788.05,1833.55,1620.9,1515.05,1323.65,1413.25,11966.48
Ambigu-Comique,3404.75,2754.25,2207.25,2261.75,2542.75,,2126.75,15297.5
Théâtre Impérial du Cirque,2432,1574.5,,,,,,4006.5
Folies-Dramatiques,1435.1,980.65,691.55,852.65,813.75,,801.75,5575.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,25355.83,19883.95,18584,20203.9,20542.45,13512.95,17961.55,136044.63
