Théâtres,1860-08-26,1860-08-27,1860-08-28,1860-08-29,1860-08-30,1860-08-31,1860-09-01,26 - 31 août,1 sept.
Opéra,,,,,,,,,
Théâtre Français,1294.8,1103.6,1307.2,1328.5,1695.6,2122.3,1260.3,8852,1260.3
Opéra-Comique,1568.25,2015.5,1385,2797,1914,2206.5,2327,11886.25,2327
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,1282,,1282
Théâtre-Lyrique,,,,,,,975.25,,975.25
Vaudeville,710,958.5,1537.5,1231.5,1347.5,1538,1254,7323,1254
Théâtre des Variétés,760.5,1060.5,1097.5,1261.5,1816.5,1796.5,1113.5,7793,1113.5
Gymnase,864.25,768,745.5,725.25,1132.25,1379,741.5,5614.25,741.5
Palais-Royal,901.7,1411.5,1400.25,2014.5,2014,2219,1701.75,9960.95,1701.75
Porte Saint-Martin,934.75,,,,,,,934.75,
Gaîté,1107.55,1079.05,1241.15,1209.25,1414.9,1711.15,1060.4,7763.05,1060.4
Ambigu-Comique,1887.25,1760,1766,1805.25,2220,2062,1773.5,11500.5,1773.5
Théâtre Impérial du Cirque,5225.05,4208.75,4815.65,4768.7,5001.95,5168.45,4343,29188.55,4343
Folies-Dramatiques,572.25,504.05,2042.45,1395.55,1482.05,2592.85,1492.96,8589.2,1492.96
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,15826.35,14869.45,17338.2,18537,20038.75,22795.75,19325.16,109405.5,19325.16
